graph_id,graph_nodes,graph_edges,num_nodes,num_edges,average_score,problem_scores,total_evaluation_time,num_problems_evaluated
0,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Explain""], [3, ""Python_solver""], [4, ""END""]]","[[0, 1], [1, 2], [2, 3], [3, 4]]",5,4,0.84375,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 0.35]",2.4920637607574463,10
1,"[[0, ""START""], [1, ""Python_solver""], [2, ""Validator""], [3, ""True_pass""], [4, ""Combine_any""], [5, ""END""], [6, ""False_pass""], [7, ""Explain""]]","[[0, 1], [1, 2], [2, 3], [2, 6], [3, 4], [4, 5], [6, 7], [7, 4]]",8,8,0.7723863636363637,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0875, 1.0, 1.0, 0.6363636363636364]",7.758392071723938,10
2,"[[0, ""START""], [1, ""Python_solver""], [2, ""END""]]","[[0, 1], [1, 2]]",3,2,0.8101499999999999,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.013999999999999999, 0.0875, 1.0, 1.0, 1.0]",3.5770283699035645,10
3,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Solver""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.7529166666666667,"[0.65625, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 1.0, 0.65625, 0.39999999999999997, 1.0]",2.406281089782715,10
4,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Solver""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.8262500000000002,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 0.175]",1.1944438219070435,10
5,"[[0, ""START""], [1, ""Split""], [2, ""Solver""], [3, ""Combine_all""], [4, ""Solver""], [5, ""END""], [6, ""Python_solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 3]]",7,7,0.27005,"[0.0, 0.35, 0.2333333333333333, 0.0, 0.049999999999999996, 0.35, 0.09999999999999999, 0.004666666666666667, 0.6124999999999999, 1.0]",6.9418549060821535,10
6,"[[0, ""START""], [1, ""Solver""], [2, ""END""]]","[[0, 1], [1, 2]]",3,2,0.5686666666666667,"[0.3733333333333333, 0.35, 0.2333333333333333, 1.0, 0.4666666666666666, 1.0, 0.09999999999999999, 0.5833333333333334, 0.58, 1.0]",2.5128721714019777,10
7,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Solver""], [6, ""Extract_topic""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.606304520984399,"[0.65625, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 0.075, 0.5675675675675675, 0.5975609756097561, 0.35]",1.6933850526809693,10
8,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Python_solver""], [7, ""Extract_topic""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.63625,"[1.0, 1.0, 0.1, 1.0, 0.175, 0.0, 0.0875, 1.0, 1.0, 1.0]",3.0784421443939207,10
9,"[[0, ""START""], [1, ""Solver""], [2, ""Validator""], [3, ""True_pass""], [4, ""Combine_any""], [5, ""Python_solver""], [6, ""END""], [7, ""False_pass""], [8, ""Python_solver""]]","[[0, 1], [1, 2], [2, 3], [2, 7], [3, 4], [4, 5], [5, 6], [7, 8], [8, 4]]",9,9,0.81875,"[1.0, 1.0, 0.1, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 1.0]",11.350714588165284,10
