graph_id,graph_nodes,graph_edges,num_nodes,num_edges,average_score,problem_scores,total_evaluation_time,num_problems_evaluated
0,"[[0, ""START""], [1, ""Split""], [2, ""Explain""], [3, ""Python_solver""], [4, ""Combine_all""], [5, ""Explain""], [6, ""END""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.286530303030303,"[0.02333333333333333, 1.0, 0.2333333333333333, 0.06363636363636363, 0.049999999999999996, 0.35, 0.09999999999999999, 1.0, 0.009999999999999998, 0.034999999999999996]",8.564149498939514,10
1,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Explain""], [6, ""Extract_topic""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.6789801864801864,"[0.3181818181818182, 0.35, 1.0, 0.6363636363636364, 0.5249999999999999, 1.0, 1.0, 0.5833333333333334, 0.37692307692307686, 1.0]",2.759719181060791,10
2,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Extract_topic""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.9126194294641239,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1261942946412396]",2.9327271699905397,10
3,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Solver""], [3, ""Combine_all""], [4, ""Python_solver""], [5, ""END""], [6, ""Explain""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.8281944444444445,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 0.19444444444444445]",12.335098838806152,10
4,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Extract_topic""], [3, ""Explain""], [4, ""Combine_all""], [5, ""Explain""], [6, ""END""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.7364166666666667,"[1.0, 0.36666666666666664, 1.0, 1.0, 1.0, 0.35, 0.0875, 1.0, 1.0, 0.5599999999999999]",15.129577732086181,10
5,"[[0, ""START""], [1, ""Explain""], [2, ""Split""], [3, ""Python_solver""], [4, ""Combine_all""], [5, ""Explain""], [6, ""END""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [2, 3], [2, 7], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.03970563636363635,"[0.00041999999999999996, 0.0, 0.2333333333333333, 0.06363636363636363, 0.049999999999999996, 0.0, 0.0, 0.004666666666666667, 0.009999999999999998, 0.034999999999999996]",3.8565277814865113,10
6,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Extract_topic""], [3, ""Solver""], [4, ""Combine_all""], [5, ""Explain""], [6, ""END""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.7152499999999999,"[0.3733333333333333, 1.0, 1.0, 1.0, 0.4666666666666666, 1.0, 0.09999999999999999, 0.6, 0.6124999999999999, 1.0]",8.473077988624572,10
7,"[[0, ""START""], [1, ""Split""], [2, ""Extract_topic""], [3, ""Python_solver""], [4, ""Combine_all""], [5, ""Explain""], [6, ""END""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.6635276572668112,"[0.022776572668112796, 1.0, 1.0, 1.0, 1.0, 0.35, 0.0875, 1.0, 1.0, 0.175]",13.78254942893982,10
8,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Solver""], [6, ""Extract_topic""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.4650099502487562,"[0.31343283582089554, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 0.09999999999999999, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",1.550943374633789,10
9,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Explain""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.18796231746673583,10
