iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics_count,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-27T22:53:22.802268,generation,10.4123,638,random,prediction,0.0003,638,0.4985704905294801,0.0007512957226646,0.2527804524878009,0.1433706840610448,0.0,selection,10,5,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 1, 'Decompose_3': 1, 'Decompose_4': 0, 'Combine_all': 4, 'Combine_any': 0, 'Solver': 2, 'Python_solver': 8, 'Explain': 4, 'Extract_topic': 3, 'START': 5, 'END': 5}",llm_evaluation,243.5852,10,5,5,50,1.0,0.074060606060606,0.6449274529974915,0.3416018690048649,0.3727119394714357,0.3440948559224129,0.0055438072817141,0.3440948559224129,0.0571529476764071,0.1795230886049384,28,21,1,0.56,0.98,10,24.3585,4.8717,llm_multiagent_system,['unknown'],training_data_update,10,10,retraining,10,0.0063340999186038
1,2025-12-27T22:56:58.597335,generation,13.7399,628,random,prediction,0.0304,628,0.9994819760322572,0.0763982310891151,0.4521313562728227,0.3342789158636969,0.0,selection,10,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 5, 'Decompose_3': 2, 'Decompose_4': 0, 'Combine_all': 9, 'Combine_any': 0, 'Solver': 6, 'Python_solver': 19, 'Explain': 4, 'Extract_topic': 7, 'START': 10, 'END': 10}",llm_evaluation,200.8492,10,5,5,50,1.0,0.655,0.855378787878788,0.1173653469114601,0.1847657900096675,0.1438518592083092,0.3306937238854583,0.1438518592083092,0.085659678604224,0.2393440710407524,41,9,0,0.82,1.0,10,20.0849,4.017,llm_multiagent_system,['unknown'],training_data_update,10,20,retraining,20,0.0158867854624986
2,2025-12-27T23:01:05.851228,generation,11.0602,618,random,prediction,0.0338,618,0.9032724499702454,0.0313524529337883,0.4868643225915127,0.2821260133397721,0.0001,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 10, 'Decompose_3': 1, 'Decompose_4': 1, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 13, 'Python_solver': 24, 'Explain': 6, 'Extract_topic': 9, 'START': 15, 'END': 15}",llm_evaluation,233.9728,10,5,5,50,1.0,0.6330434782608696,0.9137922266139658,0.1307013940406617,0.1458018200101892,0.1148558101044027,-0.0499902745735614,0.1148558101044027,0.0343543945314017,0.11168221292738,43,7,0,0.86,1.0,10,23.3973,4.6795,llm_multiagent_system,['unknown'],training_data_update,10,30,retraining,30,0.0177690982818603
3,2025-12-27T23:06:46.314473,generation,11.1357,610,random,prediction,0.0344,610,0.9026126265525818,0.0190358236432075,0.4545926893404761,0.2708992353976183,0.0001,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 13, 'Decompose_3': 0, 'Decompose_4': 2, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 18, 'Python_solver': 23, 'Explain': 2, 'Extract_topic': 12, 'START': 15, 'END': 15}",llm_evaluation,326.8,10,5,5,50,1.0,0.70625,0.8764330808080809,0.1000688533956439,0.1039327027261354,0.0867817413975493,-0.5402960005992792,0.0867817413975493,0.056675122117641,0.1946273193707726,40,10,0,0.8,1.0,10,32.68,6.536,llm_multiagent_system,['unknown'],training_data_update,10,40,retraining,40,0.0140677861869335
4,2025-12-27T23:11:25.507046,generation,10.8271,601,random,prediction,0.0318,601,0.895885705947876,0.0133898500353097,0.4253260671686437,0.2805883090369201,0.0001,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 10, 'Decompose_3': 3, 'Decompose_4': 2, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 13, 'Python_solver': 30, 'Explain': 7, 'Extract_topic': 4, 'START': 15, 'END': 15}",llm_evaluation,266.0093,10,5,5,50,1.0,0.82,0.91,0.09,0.0936587996390666,0.0909962797164917,-0.3368747233209251,0.0909962797164917,0.0648,0.18,45,5,0,0.9,1.0,10,26.6009,5.3202,llm_multiagent_system,['unknown'],training_data_update,10,50,retraining,50,0.0116230954229831
5,2025-12-27T23:14:36.194851,generation,11.2508,597,random,prediction,0.028,597,0.8999034762382507,0.0061964043416082,0.4082399397391133,0.314918217570373,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 6, 'Decompose_3': 3, 'Decompose_4': 5, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 17, 'Python_solver': 29, 'Explain': 4, 'Extract_topic': 4, 'START': 15, 'END': 15}",llm_evaluation,176.7745,10,5,5,50,1.0,0.6866666666666668,0.8914027777777779,0.1385953905859306,0.1381424400568149,0.1310088607205284,0.1187949937299413,0.1310088607205284,0.0478706558641975,0.136988233430572,42,8,0,0.84,1.0,10,17.6775,3.5355,llm_multiagent_system,['unknown'],training_data_update,10,60,retraining,60,0.0132702429468433
6,2025-12-27T23:16:11.955227,generation,11.229,590,random,prediction,0.0203,590,0.9102911949157716,0.0048315762542188,0.5142329873832858,0.3258616415844808,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 6, 'Decompose_3': 3, 'Decompose_4': 5, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 17, 'Python_solver': 29, 'Explain': 4, 'Extract_topic': 4, 'START': 15, 'END': 15}",llm_evaluation,80.7938,10,5,5,50,1.0,0.66,0.8783111111111112,0.1121330426736885,0.1121256365238903,0.0991321369224124,0.4130400930474061,0.0991321369224124,0.0695813530864197,0.2011983443832857,42,8,0,0.84,1.0,10,8.0794,1.6159,llm_multiagent_system,['unknown'],training_data_update,10,70,retraining,70,0.0131966636649199
7,2025-12-27T23:18:15.172363,generation,12.3558,580,random,prediction,0.0328,580,0.9270171523094176,0.0048937769606709,0.4326245276209224,0.3106139857328592,0.0001,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 9, 'Decompose_3': 3, 'Decompose_4': 1, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 10, 'Python_solver': 28, 'Explain': 7, 'Extract_topic': 7, 'START': 15, 'END': 15}",llm_evaluation,106.9376,10,5,5,50,1.0,0.527090909090909,0.7704390326340327,0.1318144369297999,0.1842261831860685,0.1495030304591527,0.4952668384585424,0.1495030304591527,0.096756267340109,0.2890493277540416,33,16,1,0.66,0.98,10,10.6938,2.1388,llm_multiagent_system,['unknown'],training_data_update,10,80,retraining,80,0.0121282745152711
8,2025-12-27T23:20:03.525703,generation,12.1111,570,random,prediction,0.0281,570,0.8861085772514343,0.0255673937499523,0.3859046131209062,0.2756308886773618,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 13, 'Decompose_3': 1, 'Decompose_4': 0, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 6, 'Python_solver': 29, 'Explain': 11, 'Extract_topic': 10, 'START': 15, 'END': 15}",llm_evaluation,92.1302,10,5,5,50,1.0,0.6900000000000001,0.8674,0.1172554476346408,0.1191444982990015,0.1098615075111389,-0.1925300898813046,0.1098615075111389,0.0810464,0.2204197172471634,42,8,0,0.84,1.0,10,9.213,1.8426,llm_multiagent_system,['unknown'],training_data_update,10,90,retraining,90,0.0114661527797579
9,2025-12-27T23:25:30.683826,generation,12.3473,562,random,prediction,0.0281,562,0.9030234217643738,0.0129234157502651,0.4003378321363647,0.2991720101959119,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 13, 'Decompose_3': 1, 'Decompose_4': 0, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 11, 'Python_solver': 27, 'Explain': 10, 'Extract_topic': 8, 'START': 15, 'END': 15}",llm_evaluation,310.2662,10,5,5,50,1.0,0.6977777777777778,0.8299694444444444,0.094381167078364,0.1163554593609236,0.1087097857687208,0.4822674247902732,0.1087097857687208,0.1044177780864197,0.2884991555141558,39,10,1,0.78,0.98,10,31.0266,6.2053,llm_multiagent_system,['unknown'],training_data_update,10,100,retraining,100,0.0129502034187316
10,2025-12-27T23:28:42.318406,generation,11.7885,552,random,prediction,0.0182,552,0.8764854073524475,0.0056907995603978,0.3331818382164625,0.2838345921817367,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 13, 'Decompose_3': 0, 'Decompose_4': 0, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 10, 'Python_solver': 26, 'Explain': 12, 'Extract_topic': 6, 'START': 15, 'END': 15}",llm_evaluation,174.223,10,5,5,50,1.0,0.8093333333333333,0.9089333333333331,0.0911166285592262,0.0928045036509423,0.0898155234495799,0.1781073436619829,0.0898155234495799,0.0663815111111111,0.1821333333333333,45,5,0,0.9,1.0,10,17.4223,3.4845,llm_multiagent_system,['unknown'],training_data_update,10,110,retraining,110,0.0127469772472977
11,2025-12-27T23:31:40.380335,generation,12.7756,547,random,prediction,0.0268,547,0.8656756281852722,0.0169806368649005,0.3667725796114919,0.2884543357380768,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 9, 'Decompose_3': 5, 'Decompose_4': 0, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 4, 'Python_solver': 21, 'Explain': 13, 'Extract_topic': 16, 'START': 15, 'END': 15}",llm_evaluation,159.8786,10,5,5,50,1.0,0.136060606060606,0.7612727272727273,0.2250964409169959,0.2535171755360367,0.1436588632915959,-0.3260315114775742,0.1436588632915959,0.0899980899908172,0.2736554679984426,35,14,1,0.7,0.98,10,15.9879,3.1976,llm_multiagent_system,['unknown'],training_data_update,10,120,retraining,120,0.01304710333546
12,2025-12-27T23:36:28.720110,generation,14.578,544,random,prediction,0.0287,544,0.834398090839386,0.109745405614376,0.4242865612100371,0.240475160459121,0.0001,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 5, 'Decompose_3': 5, 'Decompose_4': 5, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 5, 'Python_solver': 28, 'Explain': 13, 'Extract_topic': 9, 'START': 15, 'END': 15}",llm_evaluation,267.6556,10,5,5,50,1.0,0.2846666666666667,0.8309111111111112,0.1983683181095953,0.2012077670523843,0.1261026642905341,-0.5066836754279775,0.1261026642905341,0.073968612345679,0.2213506910535483,39,10,1,0.78,0.98,10,26.7656,5.3531,llm_multiagent_system,['unknown'],training_data_update,10,130,retraining,130,0.013506804093189
13,2025-12-27T23:39:56.795758,generation,11.6664,535,random,prediction,0.0183,535,0.8626620173454285,0.1232809200882911,0.4640376542216149,0.2445281832780406,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 7, 'Decompose_3': 3, 'Decompose_4': 5, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 3, 'Python_solver': 25, 'Explain': 12, 'Extract_topic': 17, 'START': 15, 'END': 15}",llm_evaluation,190.8906,10,5,5,50,1.0,0.704,0.9342666666666666,0.1047325482677981,0.1342845184510701,0.1271698553403218,-0.3119144689488567,0.1271698553403218,0.0402791111111111,0.1099049450544994,46,4,0,0.92,1.0,10,19.0891,3.8178,llm_multiagent_system,['unknown'],training_data_update,10,140,retraining,140,0.0132312430867127
