iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_Validator,step_3_selection_good_graphs_description_node_type_counts_True_pass,step_3_selection_good_graphs_description_node_type_counts_False_pass,step_3_selection_good_graphs_description_node_type_counts_Split,step_3_selection_good_graphs_description_node_type_counts_Decompose_2,step_3_selection_good_graphs_description_node_type_counts_Decompose_3,step_3_selection_good_graphs_description_node_type_counts_Decompose_4,step_3_selection_good_graphs_description_node_type_counts_Combine_all,step_3_selection_good_graphs_description_node_type_counts_Combine_any,step_3_selection_good_graphs_description_node_type_counts_Solver,step_3_selection_good_graphs_description_node_type_counts_Python_solver,step_3_selection_good_graphs_description_node_type_counts_Explain,step_3_selection_good_graphs_description_node_type_counts_Extract_topic,step_3_selection_good_graphs_description_node_type_counts_START,step_3_selection_good_graphs_description_node_type_counts_END,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-27 22:53:22.802268,generation,10.4123,638,random,prediction,0.0003,638,0.4985704905294801,0.0007512957226646355,0.25278045248780096,0.14337068406104483,0.0,selection,10,5,0,0,0,2,1,1,0,4,0,2,8,4,3,5,5,llm_evaluation,243.5852,10,5,5,50,1.0,0.07406060606060606,0.6449274529974915,0.34160186900486494,0.3727119394714357,0.34409485592241296,0.005543807281714199,0.34409485592241296,0.05715294767640715,0.17952308860493849,28,21,1,0.56,0.98,10,24.3585,4.8717,llm_multiagent_system,1,training_data_update,10,10,retraining,10,0.006334099918603897
1,2025-12-27 22:56:58.597335,generation,13.7399,628,random,prediction,0.0304,628,0.9994819760322571,0.07639823108911514,0.45213135627282275,0.3342789158636969,0.0,selection,10,10,0,0,0,2,5,2,0,9,0,6,19,4,7,10,10,llm_evaluation,200.8492,10,5,5,50,1.0,0.655,0.855378787878788,0.1173653469114601,0.1847657900096675,0.14385185920830929,0.3306937238854583,0.14385185920830929,0.08565967860422402,0.23934407104075248,41,9,0,0.82,1.0,10,20.0849,4.017,llm_multiagent_system,1,training_data_update,10,20,retraining,20,0.015886785462498665
2,2025-12-27 23:01:05.851228,generation,11.0602,618,random,prediction,0.0338,618,0.9032724499702454,0.0313524529337883,0.48686432259151274,0.28212601333977216,0.0001,selection,10,15,0,0,0,2,10,1,1,14,0,13,24,6,9,15,15,llm_evaluation,233.9728,10,5,5,50,1.0,0.6330434782608696,0.9137922266139658,0.13070139404066172,0.1458018200101892,0.11485581010440278,-0.04999027457356144,0.11485581010440278,0.034354394531401745,0.11168221292738004,43,7,0,0.86,1.0,10,23.3973,4.6795,llm_multiagent_system,1,training_data_update,10,30,retraining,30,0.01776909828186035
3,2025-12-27 23:06:46.314473,generation,11.1357,610,random,prediction,0.0344,610,0.9026126265525818,0.01903582364320755,0.45459268934047614,0.2708992353976183,0.0001,selection,10,15,0,0,0,0,13,0,2,15,0,18,23,2,12,15,15,llm_evaluation,326.8,10,5,5,50,1.0,0.70625,0.8764330808080809,0.10006885339564396,0.10393270272613546,0.08678174139754938,-0.5402960005992792,0.08678174139754938,0.056675122117641065,0.19462731937077268,40,10,0,0.8,1.0,10,32.68,6.536,llm_multiagent_system,1,training_data_update,10,40,retraining,40,0.014067786186933518
4,2025-12-27 23:11:25.507046,generation,10.8271,601,random,prediction,0.0318,601,0.895885705947876,0.013389850035309792,0.4253260671686437,0.28058830903692017,0.0001,selection,10,15,0,0,0,0,10,3,2,15,0,13,30,7,4,15,15,llm_evaluation,266.0093,10,5,5,50,1.0,0.82,0.9099999999999999,0.09000000000000002,0.09365879963906663,0.09099627971649173,-0.3368747233209251,0.09099627971649173,0.0648,0.18,45,5,0,0.9,1.0,10,26.6009,5.3202,llm_multiagent_system,1,training_data_update,10,50,retraining,50,0.01162309542298317
5,2025-12-27 23:14:36.194851,generation,11.2508,597,random,prediction,0.028,597,0.8999034762382507,0.006196404341608286,0.4082399397391133,0.314918217570373,0.0,selection,10,15,0,0,0,1,6,3,5,15,0,17,29,4,4,15,15,llm_evaluation,176.7745,10,5,5,50,1.0,0.6866666666666668,0.8914027777777779,0.1385953905859306,0.13814244005681492,0.13100886072052847,0.11879499372994137,0.13100886072052847,0.04787065586419753,0.13698823343057204,42,8,0,0.84,1.0,10,17.6775,3.5355,llm_multiagent_system,1,training_data_update,10,60,retraining,60,0.013270242946843307
6,2025-12-27 23:16:11.955227,generation,11.229,590,random,prediction,0.0203,590,0.9102911949157715,0.004831576254218817,0.5142329873832858,0.3258616415844808,0.0,selection,10,15,0,0,0,1,6,3,5,15,0,17,29,4,4,15,15,llm_evaluation,80.7938,10,5,5,50,1.0,0.66,0.8783111111111112,0.11213304267368855,0.1121256365238903,0.09913213692241245,0.41304009304740613,0.09913213692241245,0.06958135308641974,0.2011983443832857,42,8,0,0.84,1.0,10,8.0794,1.6159,llm_multiagent_system,1,training_data_update,10,70,retraining,70,0.01319666366491999
7,2025-12-27 23:18:15.172363,generation,12.3558,580,random,prediction,0.0328,580,0.9270171523094177,0.004893776960670948,0.4326245276209224,0.3106139857328592,0.0001,selection,10,15,0,0,0,1,9,3,1,14,0,10,28,7,7,15,15,llm_evaluation,106.9376,10,5,5,50,1.0,0.527090909090909,0.7704390326340327,0.1318144369297999,0.18422618318606857,0.14950303045915278,0.4952668384585424,0.14950303045915278,0.096756267340109,0.28904932775404163,33,16,1,0.66,0.98,10,10.6938,2.1388,llm_multiagent_system,1,training_data_update,10,80,retraining,80,0.012128274515271186
8,2025-12-27 23:20:03.525703,generation,12.1111,570,random,prediction,0.0281,570,0.8861085772514343,0.025567393749952316,0.3859046131209062,0.2756308886773618,0.0,selection,10,15,0,0,0,1,13,1,0,15,0,6,29,11,10,15,15,llm_evaluation,92.1302,10,5,5,50,1.0,0.6900000000000001,0.8674,0.11725544763464084,0.11914449829900153,0.10986150751113892,-0.19253008988130466,0.10986150751113892,0.0810464,0.22041971724716342,42,8,0,0.84,1.0,10,9.213,1.8426,llm_multiagent_system,1,training_data_update,10,90,retraining,90,0.011466152779757977
9,2025-12-27 23:25:30.683826,generation,12.3473,562,random,prediction,0.0281,562,0.9030234217643738,0.012923415750265121,0.4003378321363647,0.2991720101959119,0.0,selection,10,15,0,0,0,1,13,1,0,15,0,11,27,10,8,15,15,llm_evaluation,310.2662,10,5,5,50,1.0,0.6977777777777778,0.8299694444444444,0.09438116707836407,0.11635545936092365,0.10870978576872084,0.4822674247902732,0.10870978576872084,0.10441777808641975,0.28849915551415584,39,10,1,0.78,0.98,10,31.0266,6.2053,llm_multiagent_system,1,training_data_update,10,100,retraining,100,0.012950203418731689
