iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics_count,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-23T22:57:46.085242,generation,11.601,638,random,prediction,0.0048,638,0.4999579380737645,0.0034312514448956,0.2504864826007502,0.1434899946174383,0.0,selection,10,15,"{'Validator': 1, 'True_pass': 1, 'False_pass': 1, 'Split': 1, 'Decompose_2': 2, 'Decompose_3': 1, 'Decompose_4': 9, 'Combine_all': 13, 'Combine_any': 1, 'Solver': 9, 'Python_solver': 19, 'Explain': 14, 'Extract_topic': 15, 'START': 15, 'END': 15}",llm_evaluation,163.2247,10,5,5,50,1.0,0.2273939393939394,0.7822762529137529,0.2826611425175186,0.4025486542859551,0.3783279349173562,-0.0838356493830715,0.3783279349173562,0.0507125522533362,0.1550022839599073,36,13,1,0.72,0.98,10,16.3225,3.2645,llm_multiagent_system,['unknown'],training_data_update,10,10,retraining,10,0.0015794534701853
0,2025-12-23T23:25:59.570793,generation,15.2759,638,random,prediction,0.0008,638,0.4994908936244943,0.0024242580402555,0.2505715799212444,0.1430483868876267,0.0,selection,10,5,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 2, 'Decompose_3': 0, 'Decompose_4': 1, 'Combine_all': 5, 'Combine_any': 0, 'Solver': 6, 'Python_solver': 2, 'Explain': 6, 'Extract_topic': 6, 'START': 5, 'END': 5}",llm_evaluation,190.5871,10,5,5,50,0.82,0.0193333333333333,0.5649469696969697,0.2377381541438412,0.2470545803511498,0.2118148535248372,0.3964821635034201,0.2118148535248372,0.1094924405876951,0.3096689780280451,21,25,4,0.42,0.92,10,19.0587,3.8117,llm_multiagent_system,['unknown'],training_data_update,10,10,retraining,10,0.0036541293375194
1,2025-12-23T23:28:58.003592,generation,10.8027,628,random,prediction,0.0214,628,0.8511700630187988,0.0997064560651779,0.5789236509875887,0.2431979615062092,0.0,selection,10,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 2, 'Decompose_3': 0, 'Decompose_4': 6, 'Combine_all': 10, 'Combine_any': 0, 'Solver': 7, 'Python_solver': 17, 'Explain': 10, 'Extract_topic': 6, 'START': 10, 'END': 10}",llm_evaluation,167.0569,10,5,5,50,1.0,0.82,0.9383333333333332,0.0772765596197622,0.1261847702006197,0.1068343499501546,0.5008514674106066,0.1068343499501546,0.0390977777777777,0.1233333333333333,46,4,0,0.92,1.0,10,16.7057,3.3411,llm_multiagent_system,['unknown'],training_data_update,10,20,retraining,20,0.0059794164262712
2,2025-12-23T23:31:21.133427,generation,11.1073,618,random,prediction,0.0172,618,0.9469276666641236,0.1356124281883239,0.5798814032214745,0.2514808692493407,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 3, 'Decompose_3': 0, 'Decompose_4': 10, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 7, 'Python_solver': 31, 'Explain': 15, 'Extract_topic': 6, 'START': 15, 'END': 15}",llm_evaluation,131.3942,10,5,5,50,1.0,0.6581818181818182,0.9038181818181816,0.1131062544397454,0.1208773809383099,0.100344862872904,-0.5660650540518141,0.100344862872904,0.0590485950413223,0.1659625964894003,44,6,0,0.88,1.0,10,13.1394,2.6279,llm_multiagent_system,['unknown'],training_data_update,10,30,retraining,30,0.0094006238505244
3,2025-12-23T23:32:50.585282,generation,11.26,608,random,prediction,0.0223,608,0.9125458598136902,0.1751873791217804,0.581788756860126,0.2229042789076118,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 0, 'Decompose_3': 0, 'Decompose_4': 14, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 13, 'Python_solver': 37, 'Explain': 4, 'Extract_topic': 3, 'START': 15, 'END': 15}",llm_evaluation,77.179,10,5,5,50,1.0,0.6715151515151516,0.8868282828282827,0.1106124272878188,0.1151145794560763,0.0995738711405282,0.048797888404449,0.0995738711405282,0.0611132006938067,0.1855631008825889,42,8,0,0.84,1.0,10,7.7179,1.5436,llm_multiagent_system,['unknown'],training_data_update,10,40,retraining,40,0.0094194084405899
4,2025-12-23T23:34:03.453789,generation,11.2223,602,random,prediction,0.017,602,0.9000451564788818,0.1448861062526703,0.5938802472133177,0.2387239832591864,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 6, 'Decompose_3': 0, 'Decompose_4': 8, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 18, 'Python_solver': 31, 'Explain': 6, 'Extract_topic': 2, 'START': 15, 'END': 15}",llm_evaluation,60.5621,10,5,5,50,1.0,0.82,0.946,0.0824863625092051,0.0913276834631691,0.0912719228267669,-0.2032012303006473,0.0912719228267669,0.03888,0.108,47,3,0,0.94,1.0,10,6.0562,1.2112,llm_multiagent_system,['unknown'],training_data_update,10,50,retraining,50,0.0095779296569526
5,2025-12-23T23:37:05.056762,generation,11.3678,593,random,prediction,0.0181,593,0.9148783087730408,0.2277664244174957,0.6056141959123226,0.2356147967282164,0.0,selection,10,15,"{'Validator': 1, 'True_pass': 1, 'False_pass': 1, 'Split': 0, 'Decompose_2': 6, 'Decompose_3': 0, 'Decompose_4': 7, 'Combine_all': 13, 'Combine_any': 1, 'Solver': 10, 'Python_solver': 31, 'Explain': 12, 'Extract_topic': 2, 'START': 15, 'END': 15}",llm_evaluation,168.9544,10,5,5,50,1.0,0.732,0.906977777777778,0.0987071088287633,0.0990227987137538,0.0930222341431511,-0.3300448991398741,0.0930222341431511,0.0577449086419753,0.1683465335201514,44,6,0,0.88,1.0,10,16.8954,3.3791,llm_multiagent_system,['unknown'],training_data_update,10,60,retraining,60,0.0095603128274281
6,2025-12-23T23:39:50.561972,generation,21.4861,583,random,prediction,0.0416,583,0.9049563407897948,0.1885852217674255,0.5817293737396777,0.2351825678400541,0.0001,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 5, 'Decompose_3': 0, 'Decompose_4': 9, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 17, 'Python_solver': 25, 'Explain': 15, 'Extract_topic': 0, 'START': 15, 'END': 15}",llm_evaluation,141.4317,10,5,5,50,1.0,0.81640625,0.911640625,0.0885623359759419,0.0911565643959226,0.0903209459781646,-0.269589386028874,0.0903209459781646,0.062602666015625,0.1767187499999999,45,5,0,0.9,1.0,10,14.1432,2.8286,llm_multiagent_system,['unknown'],training_data_update,10,70,retraining,70,0.0091610179016632
7,2025-12-23T23:42:24.893962,generation,12.3772,578,random,prediction,0.0265,578,0.9492915868759156,0.1890144348144531,0.5814360740842703,0.2365359183235452,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 5, 'Decompose_3': 0, 'Decompose_4': 9, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 17, 'Python_solver': 25, 'Explain': 15, 'Extract_topic': 0, 'START': 15, 'END': 15}",llm_evaluation,140.4218,10,5,5,50,1.0,0.5867948717948719,0.8212445495680789,0.1640057666462646,0.1832966304101156,0.1525306763096828,0.3049169916139385,0.1525306763096828,0.0653464233178521,0.1925469859085342,36,14,0,0.72,1.0,10,14.0422,2.8084,llm_multiagent_system,['unknown'],training_data_update,10,80,retraining,80,0.0100638575851917
8,2025-12-23T23:44:50.224155,generation,11.1781,568,random,prediction,0.0123,568,0.8715502023696899,0.1921924501657486,0.5561781307603691,0.2184496595349048,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 5, 'Decompose_3': 0, 'Decompose_4': 10, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 15, 'Python_solver': 30, 'Explain': 5, 'Extract_topic': 10, 'START': 15, 'END': 15}",llm_evaluation,132.5583,10,5,5,50,1.0,0.6533333333333333,0.8755,0.1391003834166774,0.1396206425038482,0.1245473976135254,0.1463183932394881,0.1245473976135254,0.0676966666666666,0.1812888437769959,42,8,0,0.84,1.0,10,13.2558,2.6512,llm_multiagent_system,['unknown'],training_data_update,10,90,retraining,90,0.011030634616812
