iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_Validator,step_3_selection_good_graphs_description_node_type_counts_True_pass,step_3_selection_good_graphs_description_node_type_counts_False_pass,step_3_selection_good_graphs_description_node_type_counts_Split,step_3_selection_good_graphs_description_node_type_counts_Decompose_2,step_3_selection_good_graphs_description_node_type_counts_Decompose_3,step_3_selection_good_graphs_description_node_type_counts_Decompose_4,step_3_selection_good_graphs_description_node_type_counts_Combine_all,step_3_selection_good_graphs_description_node_type_counts_Combine_any,step_3_selection_good_graphs_description_node_type_counts_Solver,step_3_selection_good_graphs_description_node_type_counts_Python_solver,step_3_selection_good_graphs_description_node_type_counts_Explain,step_3_selection_good_graphs_description_node_type_counts_Extract_topic,step_3_selection_good_graphs_description_node_type_counts_START,step_3_selection_good_graphs_description_node_type_counts_END,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-23 23:25:59.570793,generation,15.2759,638,random,prediction,0.0008,638,0.4994908936244943,0.002424258040255589,0.25057157992124446,0.14304838688762672,0.0,selection,10,5,0,0,0,2,2,0,1,5,0,6,2,6,6,5,5,llm_evaluation,190.5871,10,5,5,50,0.82,0.01933333333333333,0.5649469696969697,0.23773815414384128,0.24705458035114983,0.2118148535248372,0.39648216350342014,0.2118148535248372,0.10949244058769514,0.30966897802804516,21,25,4,0.42,0.92,10,19.0587,3.8117,llm_multiagent_system,1,training_data_update,10,10,retraining,10,0.0036541293375194073
1,2025-12-23 23:28:58.003592,generation,10.8027,628,random,prediction,0.0214,628,0.8511700630187988,0.09970645606517792,0.5789236509875887,0.24319796150620926,0.0,selection,10,10,0,0,0,2,2,0,6,10,0,7,17,10,6,10,10,llm_evaluation,167.0569,10,5,5,50,1.0,0.82,0.9383333333333332,0.07727655961976225,0.12618477020061977,0.10683434995015464,0.5008514674106066,0.10683434995015464,0.03909777777777778,0.12333333333333334,46,4,0,0.92,1.0,10,16.7057,3.3411,llm_multiagent_system,1,training_data_update,10,20,retraining,20,0.0059794164262712
2,2025-12-23 23:31:21.133427,generation,11.1073,618,random,prediction,0.0172,618,0.9469276666641235,0.13561242818832397,0.5798814032214745,0.25148086924934077,0.0,selection,10,15,0,0,0,2,3,0,10,15,0,7,31,15,6,15,15,llm_evaluation,131.3942,10,5,5,50,1.0,0.6581818181818182,0.9038181818181817,0.11310625443974544,0.12087738093830994,0.100344862872904,-0.5660650540518141,0.100344862872904,0.059048595041322316,0.16596259648940032,44,6,0,0.88,1.0,10,13.1394,2.6279,llm_multiagent_system,1,training_data_update,10,30,retraining,30,0.009400623850524426
3,2025-12-23 23:32:50.585282,generation,11.26,608,random,prediction,0.0223,608,0.9125458598136902,0.1751873791217804,0.581788756860126,0.22290427890761186,0.0,selection,10,15,0,0,0,0,0,0,14,14,0,13,37,4,3,15,15,llm_evaluation,77.179,10,5,5,50,1.0,0.6715151515151516,0.8868282828282827,0.11061242728781882,0.1151145794560763,0.09957387114052821,0.048797888404449076,0.09957387114052821,0.061113200693806755,0.18556310088258893,42,8,0,0.84,1.0,10,7.7179,1.5436,llm_multiagent_system,1,training_data_update,10,40,retraining,40,0.009419408440589905
4,2025-12-23 23:34:03.453789,generation,11.2223,602,random,prediction,0.017,602,0.9000451564788818,0.1448861062526703,0.5938802472133177,0.2387239832591864,0.0,selection,10,15,0,0,0,0,6,0,8,14,0,18,31,6,2,15,15,llm_evaluation,60.5621,10,5,5,50,1.0,0.82,0.946,0.08248636250920513,0.09132768346316912,0.09127192282676698,-0.20320123030064738,0.09127192282676698,0.03888,0.10800000000000001,47,3,0,0.94,1.0,10,6.0562,1.2112,llm_multiagent_system,1,training_data_update,10,50,retraining,50,0.00957792965695262
5,2025-12-23 23:37:05.056762,generation,11.3678,593,random,prediction,0.0181,593,0.9148783087730408,0.22776642441749573,0.6056141959123226,0.23561479672821642,0.0,selection,10,15,1,1,1,0,6,0,7,13,1,10,31,12,2,15,15,llm_evaluation,168.9544,10,5,5,50,1.0,0.732,0.9069777777777779,0.09870710882876338,0.09902279871375383,0.09302223414315118,-0.33004489913987417,0.09302223414315118,0.057744908641975304,0.16834653352015144,44,6,0,0.88,1.0,10,16.8954,3.3791,llm_multiagent_system,1,training_data_update,10,60,retraining,60,0.009560312827428181
6,2025-12-23 23:39:50.561972,generation,21.4861,583,random,prediction,0.0416,583,0.9049563407897949,0.18858522176742554,0.5817293737396777,0.2351825678400541,0.0001,selection,10,15,0,0,0,0,5,0,9,14,0,17,25,15,0,15,15,llm_evaluation,141.4317,10,5,5,50,1.0,0.81640625,0.9116406250000001,0.08856233597594199,0.09115656439592265,0.09032094597816467,-0.269589386028874,0.09032094597816467,0.062602666015625,0.17671874999999998,45,5,0,0.9,1.0,10,14.1432,2.8286,llm_multiagent_system,1,training_data_update,10,70,retraining,70,0.009161017901663269
7,2025-12-23 23:42:24.893962,generation,12.3772,578,random,prediction,0.0265,578,0.9492915868759155,0.18901443481445312,0.5814360740842703,0.23653591832354529,0.0,selection,10,15,0,0,0,0,5,0,9,14,0,17,25,15,0,15,15,llm_evaluation,140.4218,10,5,5,50,1.0,0.5867948717948719,0.8212445495680789,0.16400576664626468,0.18329663041011565,0.15253067630968284,0.3049169916139385,0.15253067630968284,0.06534642331785218,0.19254698590853422,36,14,0,0.72,1.0,10,14.0422,2.8084,llm_multiagent_system,1,training_data_update,10,80,retraining,80,0.010063857585191727
8,2025-12-23 23:44:50.224155,generation,11.1781,568,random,prediction,0.0123,568,0.8715502023696899,0.1921924501657486,0.5561781307603691,0.21844965953490486,0.0,selection,10,15,0,0,0,0,5,0,10,15,0,15,30,5,10,15,15,llm_evaluation,132.5583,10,5,5,50,1.0,0.6533333333333333,0.8755,0.1391003834166774,0.13962064250384829,0.1245473976135254,0.14631839323948814,0.1245473976135254,0.06769666666666665,0.18128884377699592,42,8,0,0.84,1.0,10,13.2558,2.6512,llm_multiagent_system,1,training_data_update,10,90,retraining,90,0.01103063461681207
9,2025-12-23 23:47:25.190789,generation,11.8892,563,random,prediction,0.0207,563,0.8932472467422485,0.19251908361911774,0.5505918130199186,0.22684712060141107,0.0,selection,10,15,0,0,0,0,7,0,8,15,0,15,30,7,8,15,15,llm_evaluation,141.2522,10,5,5,50,1.0,0.7154545454545455,0.9192787878787879,0.10347338753696361,0.10669762444552362,0.10207176277276245,,0.10207176277276245,0.05007244224058769,0.14136845850321694,45,5,0,0.9,1.0,10,14.1252,2.825,llm_multiagent_system,1,training_data_update,10,100,retraining,100,0.011323045752942563
10,2025-12-23 23:50:16.145857,generation,11.9388,553,random,prediction,0.0111,553,0.9036521315574646,0.15140895545482635,0.5493141193394204,0.23905357765287702,0.0,selection,10,15,0,0,0,0,6,0,9,15,0,7,30,14,9,15,15,llm_evaluation,157.1644,10,5,5,50,1.0,0.66,0.8533111111111111,0.11815120883066811,0.12151350108829596,0.10143073044353061,0.45647083678214734,0.10143073044353061,0.08610935308641973,0.24183298371217155,41,9,0,0.82,1.0,10,15.7164,3.1433,llm_multiagent_system,1,training_data_update,10,110,retraining,110,0.011362264000556685
11,2025-12-23 23:56:34.202033,generation,11.7611,545,random,prediction,0.0117,545,0.8693546056747437,0.1506013423204422,0.541865610939647,0.22999816762748035,0.0,selection,10,15,0,0,0,0,5,0,10,15,0,7,29,13,10,15,15,llm_evaluation,364.3581,10,5,5,50,1.0,0.6375,0.8404065656565656,0.13304813988184033,0.1400698930420171,0.11560022745228778,-0.2712277422183595,0.11560022745228778,0.08823748724619937,0.24200738938849703,40,10,0,0.8,1.0,10,36.4358,7.2872,llm_multiagent_system,1,training_data_update,10,120,retraining,120,0.01175965517759323
12,2025-12-24 00:10:43.224841,generation,11.4997,536,random,prediction,0.0106,536,0.8581360578536987,0.14086611568927765,0.5294921672833499,0.22192219967978982,0.0,selection,10,15,0,0,0,0,1,3,11,15,0,2,29,11,14,15,15,llm_evaluation,835.2143,10,5,5,50,1.0,0.6386666666666667,0.8868444444444445,0.11401853000799994,0.11564273872151082,0.0985618872112698,-0.10103942425454789,0.0985618872112698,0.07057761975308638,0.19829906127829705,43,7,0,0.86,1.0,10,83.5214,16.7043,llm_multiagent_system,1,training_data_update,10,130,retraining,130,0.011963325996811573
13,2025-12-24 00:15:04.898586,generation,12.0318,529,random,prediction,0.0121,529,0.8759682178497314,0.13523931801319122,0.5276705072259632,0.2229678798742629,0.0,selection,10,15,0,0,0,0,6,6,3,15,0,7,29,3,14,15,15,llm_evaluation,247.2907,10,5,5,50,1.0,0.6678124999999999,0.9127812499999999,0.11466360871724955,0.12413650359363106,0.11531959819793705,0.005472691926268161,0.11531959819793705,0.05543347656249999,0.148685963872692,45,5,0,0.9,1.0,10,24.7291,4.9458,llm_multiagent_system,1,training_data_update,10,140,retraining,140,0.011699659936130046
