iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics_count,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-27T18:20:24.770773,generation,15.004,638,random,prediction,0.0009,638,0.4987091939763834,0.0003511926276793,0.2515458975562936,0.1457466085558503,0.0,selection,10,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 3, 'Decompose_3': 0, 'Decompose_4': 6, 'Combine_all': 10, 'Combine_any': 0, 'Solver': 5, 'Python_solver': 13, 'Explain': 8, 'Extract_topic': 14, 'START': 10, 'END': 10}",llm_evaluation,135.1514,10,5,5,50,1.0,0.0,0.7109004748982362,0.26976721946285,0.3439529224743127,0.3137037701295255,0.6160455240225569,0.3137037701295255,0.0665108589409455,0.2209498253371401,29,16,5,0.58,0.9,10,13.5151,2.703,llm_multiagent_system,['unknown'],training_data_update,10,10,retraining,10,0.0376009866595268
1,2025-12-27T18:24:10.955312,generation,10.8725,628,random,prediction,0.0171,628,0.994321584701538,0.4171383380889892,0.7879792311863535,0.1666332594376968,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 7, 'Decompose_3': 1, 'Decompose_4': 6, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 9, 'Python_solver': 24, 'Explain': 12, 'Extract_topic': 14, 'START': 15, 'END': 15}",llm_evaluation,214.7422,10,5,5,50,1.0,0.6723333333333332,0.8846851851851852,0.10655349609874,0.148340173010684,0.1136508140652268,0.023883334685088,0.1136508140652268,0.0717646161865569,0.205228799056251,43,7,0,0.86,1.0,10,21.4742,4.2948,llm_multiagent_system,['unknown'],training_data_update,10,20,retraining,20,0.0257397294044494
2,2025-12-27T18:30:28.342732,generation,10.7119,618,random,prediction,0.0117,618,0.922255277633667,0.4059301316738128,0.7161092664142257,0.1184937036105236,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 10, 'Decompose_3': 0, 'Decompose_4': 3, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 7, 'Python_solver': 25, 'Explain': 11, 'Extract_topic': 13, 'START': 15, 'END': 15}",llm_evaluation,364.469,10,5,5,50,1.0,0.66,0.8727454545454545,0.1337359047952529,0.1683086803836475,0.1337835249944166,-0.3853639340717636,0.1337835249944166,0.0728578644628098,0.1904984402812327,42,8,0,0.84,1.0,10,36.4469,7.2894,llm_multiagent_system,['unknown'],training_data_update,10,30,retraining,30,0.0234609674662351
3,2025-12-27T18:34:08.476794,generation,11.9067,609,random,prediction,0.0233,609,0.928566575050354,0.4602653384208679,0.6944236363879174,0.1087091109974961,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 7, 'Decompose_3': 6, 'Decompose_4': 0, 'Combine_all': 13, 'Combine_any': 0, 'Solver': 2, 'Python_solver': 25, 'Explain': 6, 'Extract_topic': 14, 'START': 15, 'END': 15}",llm_evaluation,207.0181,10,5,5,50,1.0,0.7345454545454546,0.9374545454545457,0.0980544628558558,0.1051628923182867,0.0998710811571641,-0.8991481361886391,0.0998710811571641,0.0387246280991735,0.1077835550206705,46,4,0,0.92,1.0,10,20.7018,4.1404,llm_multiagent_system,['unknown'],training_data_update,10,40,retraining,40,0.0132882161065936
4,2025-12-27T18:36:44.980564,generation,12.139,601,random,prediction,0.0224,601,0.9273577928543092,0.2928895354270935,0.7148815965196257,0.1511765400133057,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 12, 'Decompose_3': 1, 'Decompose_4': 0, 'Combine_all': 13, 'Combine_any': 0, 'Solver': 6, 'Python_solver': 25, 'Explain': 4, 'Extract_topic': 16, 'START': 15, 'END': 15}",llm_evaluation,143.1677,10,5,5,50,1.0,0.585171568627451,0.8869428155110841,0.137326714241967,0.1411323952143686,0.1130840781046385,0.2834503935884769,0.1130840781046385,0.0471685371656342,0.1484276612974463,41,9,0,0.82,1.0,10,14.3168,2.8634,llm_multiagent_system,['unknown'],training_data_update,10,50,retraining,50,0.0150636038929224
5,2025-12-27T18:39:49.844992,generation,10.9473,591,random,prediction,0.013,591,0.9128695130348206,0.3768956959247589,0.727028498593119,0.1229333755792665,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 13, 'Decompose_3': 1, 'Decompose_4': 0, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 8, 'Python_solver': 24, 'Explain': 5, 'Extract_topic': 18, 'START': 15, 'END': 15}",llm_evaluation,172.6273,10,5,5,50,1.0,0.4523232323232323,0.8935434343434343,0.1673439235591425,0.1683926134756933,0.1248224316023816,-0.0524985153804846,0.1248224316023816,0.0363467443730231,0.1192575383426772,42,8,0,0.84,1.0,10,17.2627,3.4525,llm_multiagent_system,['unknown'],training_data_update,10,60,retraining,60,0.0214526917785406
6,2025-12-27T18:44:43.676497,generation,12.0084,584,random,prediction,0.0202,584,0.9093722701072692,0.4143839180469513,0.6955961112494338,0.1184629928035965,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 13, 'Decompose_3': 1, 'Decompose_4': 0, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 10, 'Python_solver': 21, 'Explain': 6, 'Extract_topic': 17, 'START': 15, 'END': 15}",llm_evaluation,278.9789,10,5,5,50,1.0,0.6866666666666668,0.8806666666666667,0.1053438813284062,0.1078290712386087,0.1005467897256215,0.1535924314376153,0.1005467897256215,0.0768177777777777,0.2143898134637012,43,7,0,0.86,1.0,10,27.8979,5.5796,llm_multiagent_system,['unknown'],training_data_update,10,70,retraining,70,0.0202818386256694
7,2025-12-27T18:49:30.119082,generation,14.9903,580,random,prediction,0.0333,580,0.9140940308570862,0.3720024526119232,0.7187533221881965,0.126152103885176,0.0001,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 13, 'Decompose_3': 1, 'Decompose_4': 0, 'Combine_all': 14, 'Combine_any': 0, 'Solver': 19, 'Python_solver': 16, 'Explain': 8, 'Extract_topic': 10, 'START': 15, 'END': 15}",llm_evaluation,269.0904,10,5,5,50,1.0,0.5836742424242425,0.922367424242424,0.1333637762788198,0.1374254745046786,0.1174691612792737,-0.597098074166252,0.1174691612792737,0.0312398697199265,0.0950648427697362,44,6,0,0.88,1.0,10,26.909,5.3818,llm_multiagent_system,['unknown'],training_data_update,10,80,retraining,80,0.020375321060419
8,2025-12-27T18:56:33.772575,generation,16.1474,573,random,prediction,0.026,573,0.9137211441993712,0.4475551247596741,0.7090291937400325,0.1057597954427726,0.0,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 15, 'Decompose_3': 0, 'Decompose_4': 0, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 17, 'Python_solver': 18, 'Explain': 10, 'Extract_topic': 12, 'START': 15, 'END': 15}",llm_evaluation,404.2112,10,5,5,50,1.0,0.6933333333333334,0.896888888888889,0.109061993923266,0.1100701297505123,0.1045745064682431,-0.1084046648266973,0.1045745064682431,0.0673056790123456,0.1833827556442277,44,6,0,0.88,1.0,10,40.4211,8.0842,llm_multiagent_system,['unknown'],training_data_update,10,90,retraining,90,0.0137341200891468
9,2025-12-27T18:58:50.905936,generation,13.7438,566,random,prediction,0.0373,566,0.9235019683837892,0.1815402507781982,0.7203785537778278,0.1763120305409642,0.0001,selection,10,15,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 10, 'Decompose_3': 5, 'Decompose_4': 0, 'Combine_all': 15, 'Combine_any': 0, 'Solver': 15, 'Python_solver': 17, 'Explain': 12, 'Extract_topic': 9, 'START': 15, 'END': 15}",llm_evaluation,120.6093,10,5,5,50,1.0,0.7345454545454546,0.9182424242424244,0.0933291813322835,0.0941418872690073,0.08204407898585,-0.1189356609515614,0.08204407898585,0.0461967309458218,0.1462077974449129,44,6,0,0.88,1.0,10,12.0609,2.4122,llm_multiagent_system,['unknown'],training_data_update,10,100,retraining,100,0.0170065074414014
