iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_Validator,step_3_selection_good_graphs_description_node_type_counts_True_pass,step_3_selection_good_graphs_description_node_type_counts_False_pass,step_3_selection_good_graphs_description_node_type_counts_Split,step_3_selection_good_graphs_description_node_type_counts_Decompose_2,step_3_selection_good_graphs_description_node_type_counts_Decompose_3,step_3_selection_good_graphs_description_node_type_counts_Decompose_4,step_3_selection_good_graphs_description_node_type_counts_Combine_all,step_3_selection_good_graphs_description_node_type_counts_Combine_any,step_3_selection_good_graphs_description_node_type_counts_Solver,step_3_selection_good_graphs_description_node_type_counts_Python_solver,step_3_selection_good_graphs_description_node_type_counts_Explain,step_3_selection_good_graphs_description_node_type_counts_Extract_topic,step_3_selection_good_graphs_description_node_type_counts_START,step_3_selection_good_graphs_description_node_type_counts_END,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-27 18:20:24.770773,generation,15.004,638,random,prediction,0.0009,638,0.49870919397638347,0.0003511926276793531,0.2515458975562936,0.1457466085558503,0.0,selection,10,10,0,0,0,1,3,0,6,10,0,5,13,8,14,10,10,llm_evaluation,135.1514,10,5,5,50,1.0,0.0,0.7109004748982362,0.26976721946285,0.3439529224743127,0.31370377012952555,0.6160455240225569,0.31370377012952555,0.06651085894094554,0.22094982533714017,29,16,5,0.58,0.9,10,13.5151,2.703,llm_multiagent_system,1,training_data_update,10,10,retraining,10,0.037600986659526825
1,2025-12-27 18:24:10.955312,generation,10.8725,628,random,prediction,0.0171,628,0.9943215847015381,0.41713833808898926,0.7879792311863535,0.1666332594376968,0.0,selection,10,15,0,0,0,1,7,1,6,15,0,9,24,12,14,15,15,llm_evaluation,214.7422,10,5,5,50,1.0,0.6723333333333332,0.8846851851851852,0.10655349609874001,0.14834017301068408,0.11365081406522681,0.02388333468508809,0.11365081406522681,0.07176461618655691,0.20522879905625108,43,7,0,0.86,1.0,10,21.4742,4.2948,llm_multiagent_system,1,training_data_update,10,20,retraining,20,0.025739729404449463
2,2025-12-27 18:30:28.342732,generation,10.7119,618,random,prediction,0.0117,618,0.922255277633667,0.40593013167381287,0.7161092664142257,0.11849370361052369,0.0,selection,10,15,0,0,0,1,10,0,3,14,0,7,25,11,13,15,15,llm_evaluation,364.469,10,5,5,50,1.0,0.66,0.8727454545454545,0.13373590479525294,0.16830868038364752,0.13378352499441665,-0.38536393407176367,0.13378352499441665,0.07285786446280988,0.19049844028123278,42,8,0,0.84,1.0,10,36.4469,7.2894,llm_multiagent_system,1,training_data_update,10,30,retraining,30,0.02346096746623516
3,2025-12-27 18:34:08.476794,generation,11.9067,609,random,prediction,0.0233,609,0.928566575050354,0.4602653384208679,0.6944236363879174,0.10870911099749614,0.0,selection,10,15,0,0,0,0,7,6,0,13,0,2,25,6,14,15,15,llm_evaluation,207.0181,10,5,5,50,1.0,0.7345454545454546,0.9374545454545455,0.09805446285585584,0.10516289231828677,0.09987108115716414,-0.8991481361886391,0.09987108115716414,0.038724628099173555,0.10778355502067054,46,4,0,0.92,1.0,10,20.7018,4.1404,llm_multiagent_system,1,training_data_update,10,40,retraining,40,0.01328821610659361
4,2025-12-27 18:36:44.980564,generation,12.139,601,random,prediction,0.0224,601,0.9273577928543091,0.2928895354270935,0.7148815965196257,0.15117654001330572,0.0,selection,10,15,0,0,0,0,12,1,0,13,0,6,25,4,16,15,15,llm_evaluation,143.1677,10,5,5,50,1.0,0.585171568627451,0.8869428155110841,0.13732671424196707,0.14113239521436868,0.1130840781046385,0.28345039358847696,0.1130840781046385,0.047168537165634294,0.1484276612974463,41,9,0,0.82,1.0,10,14.3168,2.8634,llm_multiagent_system,1,training_data_update,10,50,retraining,50,0.015063603892922401
5,2025-12-27 18:39:49.844992,generation,10.9473,591,random,prediction,0.013,591,0.9128695130348206,0.3768956959247589,0.727028498593119,0.12293337557926652,0.0,selection,10,15,0,0,0,0,13,1,0,14,0,8,24,5,18,15,15,llm_evaluation,172.6273,10,5,5,50,1.0,0.45232323232323235,0.8935434343434343,0.16734392355914257,0.1683926134756933,0.12482243160238168,-0.052498515380484605,0.12482243160238168,0.03634674437302317,0.11925753834267723,42,8,0,0.84,1.0,10,17.2627,3.4525,llm_multiagent_system,1,training_data_update,10,60,retraining,60,0.02145269177854061
6,2025-12-27 18:44:43.676497,generation,12.0084,584,random,prediction,0.0202,584,0.9093722701072693,0.4143839180469513,0.6955961112494338,0.11846299280359654,0.0,selection,10,15,0,0,0,0,13,1,0,14,0,10,21,6,17,15,15,llm_evaluation,278.9789,10,5,5,50,1.0,0.6866666666666668,0.8806666666666667,0.1053438813284062,0.1078290712386087,0.10054678972562155,0.15359243143761533,0.10054678972562155,0.07681777777777779,0.21438981346370128,43,7,0,0.86,1.0,10,27.8979,5.5796,llm_multiagent_system,1,training_data_update,10,70,retraining,70,0.020281838625669478
7,2025-12-27 18:49:30.119082,generation,14.9903,580,random,prediction,0.0333,580,0.9140940308570862,0.3720024526119232,0.7187533221881965,0.12615210388517606,0.0001,selection,10,15,0,0,0,0,13,1,0,14,0,19,16,8,10,15,15,llm_evaluation,269.0904,10,5,5,50,1.0,0.5836742424242425,0.9223674242424241,0.13336377627881982,0.13742547450467868,0.11746916127927376,-0.597098074166252,0.11746916127927376,0.03123986971992654,0.09506484276973623,44,6,0,0.88,1.0,10,26.909,5.3818,llm_multiagent_system,1,training_data_update,10,80,retraining,80,0.02037532106041908
8,2025-12-27 18:56:33.772575,generation,16.1474,573,random,prediction,0.026,573,0.9137211441993713,0.4475551247596741,0.7090291937400325,0.10575979544277261,0.0,selection,10,15,0,0,0,0,15,0,0,15,0,17,18,10,12,15,15,llm_evaluation,404.2112,10,5,5,50,1.0,0.6933333333333334,0.896888888888889,0.10906199392326606,0.11007012975051239,0.1045745064682431,-0.1084046648266973,0.1045745064682431,0.06730567901234567,0.1833827556442277,44,6,0,0.88,1.0,10,40.4211,8.0842,llm_multiagent_system,1,training_data_update,10,90,retraining,90,0.013734120089146826
9,2025-12-27 18:58:50.905936,generation,13.7438,566,random,prediction,0.0373,566,0.9235019683837891,0.18154025077819824,0.7203785537778278,0.17631203054096423,0.0001,selection,10,15,0,0,0,0,10,5,0,15,0,15,17,12,9,15,15,llm_evaluation,120.6093,10,5,5,50,1.0,0.7345454545454546,0.9182424242424243,0.09332918133228357,0.0941418872690073,0.08204407898585,-0.1189356609515614,0.08204407898585,0.04619673094582185,0.14620779744491297,44,6,0,0.88,1.0,10,12.0609,2.4122,llm_multiagent_system,1,training_data_update,10,100,retraining,100,0.017006507441401482
