model,learning_rate,epochs,hidden_dim,num_layers,dropout,train_loss,val_loss
gat,0.001,50,4,2,0.0,0.006971188924378819,0.007497007885664098
gat,0.001,50,4,2,0.1,0.011311175011926227,0.010755767370407555
gat,0.001,50,4,2,0.2,0.010170099170257648,0.009629187300847252
gat,0.001,50,4,2,0.5,0.015957629390888742,0.015507387349747858
gat,0.001,50,4,3,0.0,0.006451129313144419,0.0068791207404912845
gat,0.001,50,4,3,0.1,0.007868832432561451,0.0074828364743242835
gat,0.001,50,4,3,0.2,0.009016238235765034,0.00743849282140463
gat,0.001,50,4,3,0.5,0.010525383986532688,0.009066161332847234
gat,0.001,50,4,4,0.0,0.006238754010862774,0.006306346856091239
gat,0.001,50,4,4,0.1,0.007252385136153963,0.007559499188697494
gat,0.001,50,4,4,0.2,0.009679175747765435,0.007260987889147264
gat,0.001,50,4,4,0.5,0.013527991012152699,0.00848611585612664
gat,0.001,50,8,2,0.0,0.0063218934254513845,0.0064249224708425425
gat,0.001,50,8,2,0.1,0.008731727146854003,0.007727520673918953
gat,0.001,50,8,2,0.2,0.00936720816211568,0.007177008496300629
gat,0.001,50,8,2,0.5,0.012813617930644089,0.01069800299018837
gat,0.001,50,8,3,0.0,0.006153205823567178,0.0065968590012708715
gat,0.001,50,8,3,0.1,0.0074619131059282355,0.007425155619341961
gat,0.001,50,8,3,0.2,0.009074040750662486,0.007175615548130754
gat,0.001,50,8,3,0.5,0.011854511913326052,0.009017298036522802
gat,0.001,50,8,4,0.0,0.006090030374212398,0.006791881131357802
gat,0.001,50,8,4,0.1,0.00795393180516031,0.006927460272256903
gat,0.001,50,8,4,0.2,0.00798020280069775,0.0072574213465269825
gat,0.001,50,8,4,0.5,0.010715820578237374,0.008067436994799415
gat,0.001,50,16,2,0.0,0.006119927556978331,0.006485882414453514
gat,0.001,50,16,2,0.1,0.007513949419889185,0.007524453371915474
gat,0.001,50,16,2,0.2,0.009809494649784433,0.007335695308851542
gat,0.001,50,16,2,0.5,0.012212250112659402,0.009863810836331232
gat,0.001,50,16,3,0.0,0.006050811728669538,0.006190148965142761
gat,0.001,50,16,3,0.1,0.007165296913848983,0.0065762025741879174
gat,0.001,50,16,3,0.2,0.007734172522193856,0.006217349752277568
gat,0.001,50,16,3,0.5,0.010857307869527075,0.009103859576340944
gat,0.001,50,16,4,0.0,0.005839350333230363,0.006533259067350116
gat,0.001,50,16,4,0.1,0.006705992254945967,0.007502138576010897
gat,0.001,50,16,4,0.2,0.0073816829981903235,0.007115062245164783
gat,0.001,50,16,4,0.5,0.009491833496010967,0.007607179476114734
gat,0.001,50,32,2,0.0,0.005954833887517452,0.006735565156943046
gat,0.001,50,32,2,0.1,0.007542103208187554,0.0073270835757496934
gat,0.001,50,32,2,0.2,0.008721422921452258,0.007011300184123303
gat,0.001,50,32,2,0.5,0.011241316319339806,0.00889793978448603
gat,0.001,50,32,3,0.0,0.0056616754995452035,0.006546455941059492
gat,0.001,50,32,3,0.1,0.007477864861074421,0.007190965404069982
gat,0.001,50,32,3,0.2,0.007645209143973059,0.007593104862407429
gat,0.001,50,32,3,0.5,0.010301548242568969,0.007850221246616407
gat,0.001,50,32,4,0.0,0.005591189907863736,0.00571192591045373
gat,0.001,50,32,4,0.1,0.006805041225420104,0.006138764709257782
gat,0.001,50,32,4,0.2,0.007633372955024242,0.0067047124748041975
gat,0.001,50,32,4,0.5,0.008767068737910853,0.007273261744020676
gat,0.001,100,4,2,0.0,0.006234503433936172,0.006532835774861479
gat,0.001,100,4,2,0.1,0.007650230493810441,0.006909154750841862
gat,0.001,100,4,2,0.2,0.008831536894043287,0.007712701265663746
gat,0.001,100,4,2,0.5,0.012348588245610395,0.011126097115115207
gat,0.001,100,4,3,0.0,0.006232320124076473,0.006278074950521706
gat,0.001,100,4,3,0.1,0.008072747559183174,0.006691978960184386
gat,0.001,100,4,3,0.2,0.009287057785938184,0.006986009480081568
gat,0.001,100,4,3,0.5,0.010259176169832547,0.008522861147794015
gat,0.001,100,4,4,0.0,0.005969631847822004,0.005924998289141748
gat,0.001,100,4,4,0.1,0.007235751321746244,0.0063229906650519975
gat,0.001,100,4,4,0.2,0.008999028346604772,0.007447175619437996
gat,0.001,100,4,4,0.5,0.010209574674566587,0.00806315221379066
gat,0.001,100,8,2,0.0,0.0061584647124012315,0.0064732909881104915
gat,0.001,100,8,2,0.1,0.007645529146409697,0.006756809127613494
gat,0.001,100,8,2,0.2,0.008965078617135684,0.0074946931795589755
gat,0.001,100,8,2,0.5,0.012241928714017074,0.010119587829365617
gat,0.001,100,8,3,0.0,0.00593323216566609,0.007257265590367745
gat,0.001,100,8,3,0.1,0.006499094267686208,0.007283219584997979
gat,0.001,100,8,3,0.2,0.007299053865588373,0.006680440737058646
gat,0.001,100,8,3,0.5,0.009923222619626257,0.0077742264993974075
gat,0.001,100,8,4,0.0,0.005840136100434595,0.006229680693720696
gat,0.001,100,8,4,0.1,0.0075048149666852425,0.006787274662214138
gat,0.001,100,8,4,0.2,0.007366066208730141,0.006332028712497539
gat,0.001,100,8,4,0.5,0.009665296185347769,0.007991075828861138
gat,0.001,100,16,2,0.0,0.005923684779554605,0.006572767350411723
gat,0.001,100,16,2,0.1,0.007911538270612558,0.0071301761314100705
gat,0.001,100,16,2,0.2,0.007927121077146795,0.006967759791576711
gat,0.001,100,16,2,0.5,0.011032773699197505,0.009065844039204407
gat,0.001,100,16,3,0.0,0.005968486145138741,0.0071540387577008644
gat,0.001,100,16,3,0.1,0.00676461694141229,0.006928149513910587
gat,0.001,100,16,3,0.2,0.00717988752035631,0.006563711538866213
gat,0.001,100,16,3,0.5,0.010464314702484342,0.007962235749718527
gat,0.001,100,16,4,0.0,0.0055616333563294675,0.00686745472633854
gat,0.001,100,16,4,0.1,0.007315624463889334,0.007191646893962678
gat,0.001,100,16,4,0.2,0.00693054867701398,0.0068986611579348045
gat,0.001,100,16,4,0.5,0.008987337412933508,0.008127742452865138
gat,0.001,100,32,2,0.0,0.005553494300693273,0.006129610060977719
gat,0.001,100,32,2,0.1,0.006925975407163302,0.006727923251070589
gat,0.001,100,32,2,0.2,0.008088457522292931,0.007547240813758372
gat,0.001,100,32,2,0.5,0.011391263993249998,0.008203427849267442
gat,0.001,100,32,3,0.0,0.005275791857598557,0.006690280674440085
gat,0.001,100,32,3,0.1,0.006515350710186694,0.007573017573247132
gat,0.001,100,32,3,0.2,0.007530135764843888,0.006346231016520698
gat,0.001,100,32,3,0.5,0.009895530550016298,0.007677602909140479
gat,0.001,100,32,4,0.0,0.0052452149438775245,0.006299549388508652
gat,0.001,100,32,4,0.1,0.006297910632565617,0.006034667178723941
gat,0.001,100,32,4,0.2,0.00728722508582804,0.006037189833863832
gat,0.001,100,32,4,0.5,0.009050892427977589,0.007375149246888935
gat,0.001,200,4,2,0.0,0.006038614497002628,0.006351289869861998
gat,0.001,200,4,2,0.1,0.00840541608631611,0.0069453526614665865
gat,0.001,200,4,2,0.2,0.008329434568683307,0.00759467287550315
gat,0.001,200,4,2,0.5,0.011674367553657956,0.00950490450040693
gat,0.001,200,4,3,0.0,0.005399789940565824,0.005866739057794312
gat,0.001,200,4,3,0.1,0.007589601476987203,0.006760970643194586
gat,0.001,200,4,3,0.2,0.00685849544695682,0.006650961028509173
gat,0.001,200,4,3,0.5,0.01009525340050459,0.008179992490485954
gat,0.001,200,4,4,0.0,0.005457435765614112,0.006315596278885871
gat,0.001,200,4,4,0.1,0.006495379884209898,0.006175713196207977
gat,0.001,200,4,4,0.2,0.007652413079308139,0.006582593825664773
gat,0.001,200,4,4,0.5,0.010199397636784447,0.00778082042563657
gat,0.001,200,8,2,0.0,0.005858362109089891,0.006300620718037675
gat,0.001,200,8,2,0.1,0.007076854051815139,0.006423243767043929
gat,0.001,200,8,2,0.2,0.007801289639125268,0.006933193062925192
gat,0.001,200,8,2,0.5,0.01215784243411488,0.008775793692703005
gat,0.001,200,8,3,0.0,0.005734570086416271,0.006399457242230966
gat,0.001,200,8,3,0.1,0.006221290512217416,0.0062484386237255055
gat,0.001,200,8,3,0.2,0.00751924825211366,0.006100498063178428
gat,0.001,200,8,3,0.5,0.010316302503148715,0.00829750888999552
gat,0.001,200,8,4,0.0,0.005312912352383137,0.006821537978193714
gat,0.001,200,8,4,0.1,0.006948756302396456,0.006389186198660646
gat,0.001,200,8,4,0.2,0.007512812233633466,0.0074004014359722705
gat,0.001,200,8,4,0.5,0.008826247644093302,0.006597409444701885
gat,0.001,200,16,2,0.0,0.005167171669503053,0.005776809274314165
gat,0.001,200,16,2,0.1,0.006687684998744064,0.006427512085661391
gat,0.001,200,16,2,0.2,0.007953258396850692,0.0066670006054846635
gat,0.001,200,16,2,0.5,0.01210924025831951,0.009448705021686266
