model,learning_rate,epochs,hidden_dim,num_layers,dropout,train_loss,val_loss
gcn,0.001,50,4,2,0.0,0.010692442332704862,0.011360121090168285
gcn,0.001,50,4,2,0.1,0.01661510235733456,0.016483337531148567
gcn,0.001,50,4,2,0.2,0.013270458703239759,0.012179529133415735
gcn,0.001,50,4,2,0.5,0.017325154340101612,0.016442969581098678
gcn,0.001,50,4,3,0.0,0.01565134562551975,0.016191807417440085
gcn,0.001,50,4,3,0.1,0.012254899595346716,0.012328178150269853
gcn,0.001,50,4,3,0.2,0.02030575912859705,0.018243075711749324
gcn,0.001,50,4,3,0.5,0.016687776355279817,0.014834171472596224
gcn,0.001,50,4,4,0.0,0.014253073206378353,0.014840220873696986
gcn,0.001,50,4,4,0.1,0.021286701907714208,0.014617296973588444
gcn,0.001,50,4,4,0.2,0.017597696805993716,0.012289383870650993
gcn,0.001,50,4,4,0.5,0.018431134584049384,0.018082182494776868
gcn,0.001,50,8,2,0.0,0.014366220558683078,0.015072026370699732
gcn,0.001,50,8,2,0.1,0.012382560999443133,0.011811777763670418
gcn,0.001,50,8,2,0.2,0.012125113358100256,0.011226897821518644
gcn,0.001,50,8,2,0.5,0.020317326941423946,0.01572603632936138
gcn,0.001,50,8,3,0.0,0.007300166806413068,0.008133388032031608
gcn,0.001,50,8,3,0.1,0.014026638699902429,0.012887283583034304
gcn,0.001,50,8,3,0.2,0.012403594392041365,0.010236712559763906
gcn,0.001,50,8,3,0.5,0.015669183288183477,0.012203749279245368
gcn,0.001,50,8,4,0.0,0.0064882165648870995,0.0077467603480082525
gcn,0.001,50,8,4,0.1,0.011401884837283029,0.008410293247132916
gcn,0.001,50,8,4,0.2,0.01449659773045116,0.008784451679367145
gcn,0.001,50,8,4,0.5,0.01795012950897217,0.013285378740845833
gcn,0.001,50,16,2,0.0,0.007986363696141375,0.008578744930146964
gcn,0.001,50,16,2,0.1,0.008040903405182891,0.007588786245216306
gcn,0.001,50,16,2,0.2,0.009279800227118863,0.007435677794691231
gcn,0.001,50,16,2,0.5,0.013661169467700853,0.011249544993902561
gcn,0.001,50,16,3,0.0,0.006483062605063121,0.006815150394195691
gcn,0.001,50,16,3,0.1,0.007378068530104227,0.006795792090264907
gcn,0.001,50,16,3,0.2,0.007966478003395928,0.0068433879884806535
gcn,0.001,50,16,3,0.5,0.014347089433835612,0.009506582912316385
gcn,0.001,50,16,4,0.0,0.006296428427514103,0.0063404059802039114
gcn,0.001,50,16,4,0.1,0.00772656270613273,0.007854979652809213
gcn,0.001,50,16,4,0.2,0.00782119342022472,0.0071485876381817805
gcn,0.001,50,16,4,0.5,0.012137563997465703,0.008268542324835603
gcn,0.001,50,32,2,0.0,0.0060919390991330145,0.0070743792859574
gcn,0.001,50,32,2,0.1,0.007111822141127454,0.006852188294133743
gcn,0.001,50,32,2,0.2,0.0075641323786435856,0.006883573286434607
gcn,0.001,50,32,2,0.5,0.00979424137622118,0.007273415424376495
gcn,0.001,50,32,3,0.0,0.0058699952490213845,0.006409097088322313
gcn,0.001,50,32,3,0.1,0.006766148967047533,0.00737736960060138
gcn,0.001,50,32,3,0.2,0.007981078368094233,0.007088961277264705
gcn,0.001,50,32,3,0.5,0.009359521780990893,0.007564026155629655
gcn,0.001,50,32,4,0.0,0.005669139739539888,0.006621535578321592
gcn,0.001,50,32,4,0.1,0.006781738106575277,0.007553962094232069
gcn,0.001,50,32,4,0.2,0.007612498984154728,0.006576421742864991
gcn,0.001,50,32,4,0.5,0.010005350617898836,0.007324109235891818
gcn,0.001,100,4,2,0.0,0.014526442769500944,0.015188423256567062
gcn,0.001,100,4,2,0.1,0.011043840046558116,0.008620479818720207
gcn,0.001,100,4,2,0.2,0.013470668097337086,0.009785824215147532
gcn,0.001,100,4,2,0.5,0.018711973395612504,0.020894341120912686
gcn,0.001,100,4,3,0.0,0.007428124857445558,0.007326648215851783
gcn,0.001,100,4,3,0.1,0.011047697864058945,0.00972087101179575
gcn,0.001,100,4,3,0.2,0.012737329883707894,0.008697051196826244
gcn,0.001,100,4,3,0.5,0.019622888271179466,0.015365283422129217
gcn,0.001,100,4,4,0.0,0.006830589224894841,0.006442484165130313
gcn,0.001,100,4,4,0.1,0.00860156894971927,0.006685309175919407
gcn,0.001,100,4,4,0.2,0.02214565442668067,0.01800488499113202
gcn,0.001,100,4,4,0.5,0.019064929781274664,0.013558074997134994
gcn,0.001,100,8,2,0.0,0.007025297586288717,0.007464974541646097
gcn,0.001,100,8,2,0.1,0.00868810477356116,0.006638745717236572
gcn,0.001,100,8,2,0.2,0.010574573195642895,0.009179675771647754
gcn,0.001,100,8,2,0.5,0.011833783446086777,0.009625497671609562
gcn,0.001,100,8,3,0.0,0.006735415425565508,0.006712432808062574
gcn,0.001,100,8,3,0.1,0.008232654569049676,0.007396635021653175
gcn,0.001,100,8,3,0.2,0.008185927531061073,0.007523218491528194
gcn,0.001,100,8,3,0.5,0.013504281640052795,0.010586891163009593
gcn,0.001,100,8,4,0.0,0.005972204859265023,0.006144775613511388
gcn,0.001,100,8,4,0.1,0.008594116692741712,0.007818606333769029
gcn,0.001,100,8,4,0.2,0.009041659099360307,0.007829784534926887
gcn,0.001,100,8,4,0.5,0.013352121619714632,0.008344095192296485
gcn,0.001,100,16,2,0.0,0.005895052881290515,0.006416630664482703
gcn,0.001,100,16,2,0.1,0.006786319468584326,0.006486275540279074
gcn,0.001,100,16,2,0.2,0.008352916087541315,0.006515404339428077
gcn,0.001,100,16,2,0.5,0.010702293862899144,0.00852413223045465
gcn,0.001,100,16,3,0.0,0.005611379786084096,0.005912315915641497
gcn,0.001,100,16,3,0.1,0.006897510774433613,0.006740616435820091
gcn,0.001,100,16,3,0.2,0.007400776073336601,0.007068607412909156
gcn,0.001,100,16,3,0.5,0.009442992218666606,0.0077838373080051145
gcn,0.001,100,16,4,0.0,0.005498706135484907,0.005992308623515297
gcn,0.001,100,16,4,0.1,0.00702763611657752,0.007261989442081162
gcn,0.001,100,16,4,0.2,0.007211973683701621,0.006419475533289809
gcn,0.001,100,16,4,0.5,0.010468491580751207,0.008243488902299223
gcn,0.001,100,32,2,0.0,0.005380395551522573,0.006371925018397206
gcn,0.001,100,32,2,0.1,0.006345867883000109,0.006813906552641491
gcn,0.001,100,32,2,0.2,0.006967146177258757,0.006765310822856851
gcn,0.001,100,32,2,0.5,0.008834813162684441,0.007165402559723688
gcn,0.001,100,32,3,0.0,0.005461080092936754,0.0072534621243468544
gcn,0.001,100,32,3,0.1,0.006959443497988913,0.007150399301641475
gcn,0.001,100,32,3,0.2,0.007126377326332861,0.006816082214505403
gcn,0.001,100,32,3,0.5,0.008853198453370069,0.007415950874020383
gcn,0.001,100,32,4,0.0,0.005029065017071035,0.005428763665846437
gcn,0.001,100,32,4,0.1,0.006205760201232301,0.006081866287063975
gcn,0.001,100,32,4,0.2,0.006681137206032872,0.006020139658922408
gcn,0.001,100,32,4,0.5,0.008102592453360558,0.006959947908487418
gcn,0.001,200,4,2,0.0,0.006397034641769197,0.007128111745910904
gcn,0.001,200,4,2,0.1,0.009447176216377152,0.006874840723949571
gcn,0.001,200,4,2,0.2,0.00957192341900534,0.007934038593145143
gcn,0.001,200,4,2,0.5,0.012724020621842809,0.011653886273533942
gcn,0.001,200,4,3,0.0,0.006481340279181799,0.006568071523594376
gcn,0.001,200,4,3,0.1,0.007951074424717161,0.007099202384640258
gcn,0.001,200,4,3,0.2,0.010003153731425603,0.007791673269837674
gcn,0.001,200,4,3,0.5,0.012725342706673675,0.010390763024314431
gcn,0.001,200,4,4,0.0,0.00585712009213037,0.005893641881466505
gcn,0.001,200,4,4,0.1,0.00918872348136372,0.007383013472168809
gcn,0.001,200,4,4,0.2,0.00996481447170178,0.007653248038747407
gcn,0.001,200,4,4,0.5,0.012027864054673248,0.009624164640529998
gcn,0.001,200,8,2,0.0,0.005820638339759575,0.006118101640942531
gcn,0.001,200,8,2,0.1,0.007897878272665871,0.006607071107845553
gcn,0.001,200,8,2,0.2,0.008826521928939554,0.00742940445756961
gcn,0.001,200,8,2,0.5,0.01246666262547175,0.010688473221296757
gcn,0.001,200,8,3,0.0,0.005492045171558857,0.0060984101091751345
gcn,0.001,200,8,3,0.1,0.007823915127664805,0.007151667455023247
gcn,0.001,200,8,3,0.2,0.007423600844211049,0.006798775796856926
gcn,0.001,200,8,3,0.5,0.010101712660657035,0.008212456944027124
gcn,0.001,200,8,4,0.0,0.005955061326838202,0.006505415653448065
gcn,0.001,200,8,4,0.1,0.007282053348090914,0.007328647209617856
gcn,0.001,200,8,4,0.2,0.00841666745642821,0.007364750119932406
gcn,0.001,200,8,4,0.5,0.011152987285620636,0.00782514000337935
gcn,0.001,200,16,2,0.0,0.004885893325424857,0.006277545569546739
gcn,0.001,200,16,2,0.1,0.006513326863447825,0.007059750312330526
gcn,0.001,200,16,2,0.2,0.007670461355398099,0.007099998244428374
gcn,0.001,200,16,2,0.5,0.008167800948851639,0.007339820858742829
gcn,0.001,200,16,3,0.0,0.004610288267334302,0.005862061079184855
gcn,0.001,200,16,3,0.1,0.005954172648489475,0.005716183243510753
gcn,0.001,200,16,3,0.2,0.0074693253574271996,0.00665486018899557
gcn,0.001,200,16,3,0.5,0.00878306898391909,0.007235147510912565
gcn,0.001,200,16,4,0.0,0.005153666741939055,0.0059154812236267285
gcn,0.001,200,16,4,0.1,0.005492467764351103,0.005922441331250394
gcn,0.001,200,16,4,0.2,0.006873058382835653,0.006203487473724167
gcn,0.001,200,16,4,0.5,0.009502659510407184,0.006831443432595763
gcn,0.001,200,32,2,0.0,0.005185109614912007,0.006384712291597183
gcn,0.001,200,32,2,0.1,0.0057346038106415006,0.006732093263784322
gcn,0.001,200,32,2,0.2,0.006516870390623808,0.006915048801813417
gcn,0.001,200,32,2,0.5,0.007921619051032596,0.0067382681771821495
gcn,0.001,200,32,3,0.0,0.004437003740006023,0.005623659705270989
gcn,0.001,200,32,3,0.1,0.005309704173770215,0.0055150434670164115
gcn,0.001,200,32,3,0.2,0.005565382022824552,0.0058555480984881616
gcn,0.001,200,32,3,0.5,0.006979293417599466,0.006044955002564212
gcn,0.001,200,32,4,0.0,0.0046429015489088165,0.005953501700350849
