model,learning_rate,epochs,hidden_dim,num_layers,dropout,train_loss,val_loss
graph_sage,0.001,50,4,2,0.0,0.014854473144643837,0.01546477383876992
graph_sage,0.001,50,4,2,0.1,0.0453658241364691,0.05276038332560233
graph_sage,0.001,50,4,2,0.2,0.014613510626885626,0.014311061718314288
graph_sage,0.001,50,4,2,0.5,0.017070824859870805,0.01770420762956837
graph_sage,0.001,50,4,3,0.0,0.018771147396829394,0.02095879279254973
graph_sage,0.001,50,4,3,0.1,0.01283258121046755,0.013049610135939993
graph_sage,0.001,50,4,3,0.2,0.01945830595990022,0.015894137334702574
graph_sage,0.001,50,4,3,0.5,0.038241574250989493,0.03012995748224805
graph_sage,0.001,50,4,4,0.0,0.012944958917796612,0.013680157287172446
graph_sage,0.001,50,4,4,0.1,0.015099615086283949,0.013596300388335526
graph_sage,0.001,50,4,4,0.2,0.011383337072200246,0.009431039029073319
graph_sage,0.001,50,4,4,0.5,0.03150409104095565,0.02765027599142007
graph_sage,0.001,50,8,2,0.0,0.008035351749923494,0.008347859297063743
graph_sage,0.001,50,8,2,0.1,0.010233948876460394,0.009156555063212756
graph_sage,0.001,50,8,2,0.2,0.013041714475386672,0.011323049969505306
graph_sage,0.001,50,8,2,0.5,0.012937599544723828,0.012393215575549288
graph_sage,0.001,50,8,3,0.0,0.008920518888367547,0.00944474117792824
graph_sage,0.001,50,8,3,0.1,0.008500810241740611,0.007928212389151756
graph_sage,0.001,50,8,3,0.2,0.010489932530456119,0.008732415509344893
graph_sage,0.001,50,8,3,0.5,0.022367031541135576,0.014353779696187896
graph_sage,0.001,50,8,4,0.0,0.006559947619421615,0.006194746264702377
graph_sage,0.001,50,8,4,0.1,0.008693607648213704,0.007892226989835294
graph_sage,0.001,50,8,4,0.2,0.01192554912219445,0.009116179584549577
graph_sage,0.001,50,8,4,0.5,0.02255071196705103,0.015550769229375127
graph_sage,0.001,50,16,2,0.0,0.00646028086129162,0.006892423234219192
graph_sage,0.001,50,16,2,0.1,0.01302026082865066,0.011897322891066065
graph_sage,0.001,50,16,2,0.2,0.008996620939837562,0.007048915464769667
graph_sage,0.001,50,16,2,0.5,0.012751348896159066,0.008484683854166963
graph_sage,0.001,50,16,3,0.0,0.006500649679866102,0.006773197399411224
graph_sage,0.001,50,16,3,0.1,0.007657904674609502,0.007396975744886891
graph_sage,0.001,50,16,3,0.2,0.008514842577278614,0.0072350419633827375
graph_sage,0.001,50,16,3,0.5,0.012076854043536716,0.00843050552351885
graph_sage,0.001,50,16,4,0.0,0.006947465096082952,0.007324870325091127
