iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_Validator,step_3_selection_good_graphs_description_node_type_counts_True_pass,step_3_selection_good_graphs_description_node_type_counts_False_pass,step_3_selection_good_graphs_description_node_type_counts_Split,step_3_selection_good_graphs_description_node_type_counts_Decompose_2,step_3_selection_good_graphs_description_node_type_counts_Decompose_3,step_3_selection_good_graphs_description_node_type_counts_Decompose_4,step_3_selection_good_graphs_description_node_type_counts_Combine_all,step_3_selection_good_graphs_description_node_type_counts_Combine_any,step_3_selection_good_graphs_description_node_type_counts_Solver,step_3_selection_good_graphs_description_node_type_counts_Python_solver,step_3_selection_good_graphs_description_node_type_counts_Explain,step_3_selection_good_graphs_description_node_type_counts_Extract_topic,step_3_selection_good_graphs_description_node_type_counts_START,step_3_selection_good_graphs_description_node_type_counts_END,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-21 00:50:51.515820,generation,11.8103,638,random,prediction,0.0042,638,0.9987302436180167,6.68732386789328e-05,0.48921573779368444,0.2894585466442947,0.0,selection,10,15,0,0,0,3,3,2,7,15,0,12,17,20,9,15,15,llm_evaluation,180.2219,10,10,10,100,0.27,0.0,0.08399999999999999,0.09551963149007643,0.9100010235842229,0.9047603318024832,-0.4203297846241371,0.9047603318024832,0.06362000000000001,0.1766197174190415,7,2,91,0.07,0.09,10,18.0222,1.8022,llm_multiagent_system,1,training_data_update,10,10,retraining,10,0.012171080335974693
1,2025-12-21 00:56:27.375893,generation,11.3104,628,random,prediction,0.1967,628,0.062345366925001144,0.013708187267184258,0.028163351263898382,0.006837405670652809,0.0003,selection,10,25,8,8,8,0,1,3,5,9,8,12,25,19,8,25,25,llm_evaluation,323.8032,10,10,10,100,0.37,0.0,0.10799999999999998,0.12990765951243982,0.873046748548498,0.8629956039256925,-0.3315838544610283,0.8629956039256925,0.07106000000000001,0.18453551961056316,8,4,88,0.08,0.12,10,32.3803,3.238,llm_multiagent_system,1,training_data_update,10,20,retraining,20,0.013822490349411964
2,2025-12-21 00:59:00.427752,generation,10.432,618,random,prediction,0.1713,618,0.0783810243010521,0.04038321226835251,0.05589784172432901,0.0044033923830517204,0.0003,selection,10,25,6,6,6,6,9,0,0,15,6,24,34,15,2,25,25,llm_evaluation,141.6755,10,10,10,100,0.27,0.0,0.06799999999999999,0.09228217596047461,0.6613149582725513,0.5102099954462297,-0.43612659119124253,0.5102099954462297,0.04646,0.1346197174190415,4,4,92,0.04,0.08,10,14.1675,1.4168,llm_multiagent_system,1,training_data_update,10,30,retraining,30,0.012145261280238628
3,2025-12-21 01:09:48.823974,generation,10.7645,608,random,prediction,0.1722,608,0.08437560498714447,0.05720539391040802,0.07325984270458943,0.0032630155537488876,0.0003,selection,10,25,3,3,3,12,1,7,0,20,3,35,23,16,9,25,25,llm_evaluation,636.4237,10,10,10,100,0.44000000000000006,0.0,0.11200000000000002,0.13912584231550948,0.14286100862248402,0.11243875053524972,-0.5186038185096202,0.11243875053524972,0.0675,0.18199150001687348,7,6,87,0.07,0.13,10,63.6424,6.3642,llm_multiagent_system,1,training_data_update,10,40,retraining,40,0.01381613127887249
4,2025-12-21 01:25:21.480840,generation,10.7361,598,random,prediction,0.1877,598,0.1273278146982193,0.08904571086168289,0.10575428784491625,0.006635931456968998,0.0003,selection,10,25,0,0,0,5,15,5,0,25,0,44,18,11,19,25,25,llm_evaluation,920.5391,10,10,10,100,0.27,0.0,0.146,0.10081666528902848,0.10247542869621133,0.09195827078819274,0.25439243220836666,0.09195827078819274,0.09772,0.2745239639165369,9,8,83,0.09,0.17,10,92.0539,9.2054,llm_multiagent_system,1,training_data_update,10,50,retraining,50,0.013331656306982041
5,2025-12-21 02:00:21.837375,generation,10.6709,588,random,prediction,0.1623,588,0.11537589877843857,0.07245533913373947,0.1006432356072121,0.007478141924397736,0.0003,selection,10,25,0,0,0,3,12,0,1,16,0,17,38,23,34,25,25,llm_evaluation,2088.2085,10,10,10,100,0.33999999999999997,0.0,0.175,0.10471389592599445,0.11802050963221172,0.09289475491642951,-0.2951178808110289,0.09289475491642951,0.10190999999999999,0.29662009077365864,7,15,78,0.07,0.22,10,208.8209,20.8821,llm_multiagent_system,1,training_data_update,10,60,retraining,60,0.0138754536708196
6,2025-12-21 02:21:09.693347,generation,10.2302,578,random,prediction,0.1676,578,0.13284926116466522,0.07556312531232834,0.11612202240005909,0.011819417269020452,0.0003,selection,10,25,1,1,1,8,5,0,0,13,1,24,24,24,29,25,25,llm_evaluation,1236.0576,10,10,10,100,0.2,0.0,0.071,0.0883685464404615,0.10648425772665997,0.09682906037569046,0.34553331943487,0.09682906037569046,0.05185000000000002,0.14265544690232695,5,3,92,0.05,0.08,10,123.6058,12.3606,llm_multiagent_system,1,training_data_update,10,70,retraining,70,0.013175904804042408
7,2025-12-21 02:39:38.180286,generation,932.9429,568,random,prediction,0.1992,568,0.1279756873846054,0.06911619752645493,0.11038225967909249,0.012265227890444262,0.0004,selection,10,25,1,1,1,11,5,0,0,16,1,30,25,8,23,25,25,llm_evaluation,173.7992,10,10,10,100,0.27,0.0,0.081,0.08431488599292536,0.09633002113828196,0.08364229422807692,0.8093204770442114,0.08364229422807692,0.06103000000000001,0.1876197174190415,6,3,91,0.06,0.09,10,17.3799,1.738,llm_multiagent_system,1,training_data_update,10,80,retraining,80,0.012162479385733605
8,2025-12-21 03:06:41.667965,generation,11.3004,558,random,prediction,0.1498,558,0.13037154078483582,0.0922105461359024,0.12258808062441888,0.007362540786996003,0.0003,selection,10,25,0,0,0,5,0,0,15,20,0,28,28,6,32,25,25,llm_evaluation,1610.3723,10,10,10,100,0.0,0.0,0.0,0.0,0.12937445011314147,0.12937399446964265,,0.12937399446964265,0.0,0.0,0,0,100,0.0,0.0,10,161.0372,16.1037,llm_multiagent_system,1,training_data_update,10,90,retraining,90,0.011999137740996148
9,2025-12-21 03:15:01.694766,generation,11.6564,548,random,prediction,0.1478,548,0.10237689316272736,0.077070452272892,0.09525421586730619,0.004252330430654898,0.0003,selection,10,25,0,0,0,10,0,0,5,15,0,26,24,19,16,25,25,llm_evaluation,486.3087,10,10,10,100,0.33999999999999997,0.0,0.19099999999999998,0.09893937537704592,0.11702611240022634,0.09988417816162107,-0.6970480899251367,0.09988417816162107,0.11743,0.32061020832364795,10,13,77,0.1,0.23,10,48.6309,4.8631,llm_multiagent_system,1,training_data_update,10,100,retraining,100,0.012579289227724076
10,2025-12-21 03:20:35.457148,generation,11.4361,538,random,prediction,0.1452,538,0.10878200829029083,0.06569340080022812,0.09820691435199688,0.0092504835105703,0.0003,selection,10,25,0,0,0,1,8,0,12,21,0,27,25,6,37,25,25,llm_evaluation,320.1753,10,10,10,100,0.30999999999999994,0.13999999999999999,0.215,0.05481788029466298,0.1027945601681595,0.08707020819187164,0.28461896452279534,0.08707020819187164,0.13427,0.36433615382262763,11,15,74,0.11,0.26,10,32.0175,3.2018,llm_multiagent_system,1,training_data_update,10,110,retraining,110,0.012749068235809152
11,2025-12-21 03:28:16.198494,generation,11.2103,528,random,prediction,0.1411,528,0.12985122203826904,0.08237650245428085,0.12105927860477206,0.010506650480789354,0.0003,selection,10,25,0,0,0,14,7,0,0,21,0,26,34,3,32,25,25,llm_evaluation,447.2744,10,10,10,100,0.37,0.0,0.213,0.11584903970253702,0.14265229439670843,0.13511881428956987,0.6000843936031032,0.13511881428956987,0.13530999999999999,0.328001103234968,15,9,76,0.15,0.24,10,44.7274,4.4727,llm_multiagent_system,1,training_data_update,10,120,retraining,120,0.013348131130139032
12,2025-12-21 03:32:17.254076,generation,11.3386,518,random,prediction,0.1397,518,0.13483186066150665,0.0712515264749527,0.1270188822565622,0.014261024764706674,0.0003,selection,10,25,0,0,0,12,0,0,13,25,0,29,46,5,20,25,25,llm_evaluation,227.1716,10,10,10,100,0.44000000000000006,0.0,0.146,0.1390827092057097,0.1394573121727616,0.11883387547731399,0.43458319959987673,0.11883387547731399,0.08854,0.24311486471932459,9,8,83,0.09,0.17,10,22.7172,2.2717,llm_multiagent_system,1,training_data_update,10,130,retraining,130,0.01588557380466507
13,2025-12-21 03:36:48.352723,generation,11.2248,508,random,prediction,0.1363,508,0.13328394293785095,0.06332271546125412,0.12230114300009304,0.014354060163299914,0.0003,selection,10,25,0,0,0,8,6,0,11,25,0,40,41,8,8,25,25,llm_evaluation,257.1513,10,10,10,100,0.16999999999999998,0.0,0.027000000000000003,0.05622277118748239,0.1210438613233532,0.11435526978969572,-0.827414257571516,0.11435526978969572,0.02101,0.06465544690232691,2,1,97,0.02,0.03,10,25.7151,2.5715,llm_multiagent_system,1,training_data_update,10,140,retraining,140,0.013698758291346686
14,2025-12-21 03:43:13.986986,generation,11.1697,498,random,prediction,0.1339,498,0.12724386155605316,0.06280333548784256,0.11688636069795692,0.012928234824337676,0.0003,selection,10,25,0,0,0,12,7,0,6,25,0,46,35,5,10,25,25,llm_evaluation,371.6697,10,10,10,100,0.54,0.1,0.22200000000000003,0.12890306435457616,0.15617725666898927,0.10851523679494857,0.3923958191683859,0.10851523679494857,0.14350000000000002,0.374759297193569,18,6,76,0.18,0.24,10,37.167,3.7167,llm_multiagent_system,1,training_data_update,10,150,retraining,150,0.014659838378429412
15,2025-12-21 03:50:01.841340,generation,11.2149,488,random,prediction,0.1313,488,0.13211286067962646,0.06510458141565323,0.12507972302922948,0.015047620125798853,0.0003,selection,10,25,0,0,0,16,3,0,6,25,0,38,31,1,26,25,25,llm_evaluation,393.7464,10,10,10,100,0.37,0.0,0.088,0.12488394612599332,0.1326386349128883,0.12109244394302368,0.8357707550388985,0.12109244394302368,0.05626,0.14817975065139513,6,4,90,0.06,0.1,10,39.3746,3.9375,llm_multiagent_system,1,training_data_update,10,160,retraining,160,0.0149588355794549
16,2025-12-21 03:55:33.198047,generation,11.104,484,random,prediction,0.131,484,0.12924665212631226,0.1071854829788208,0.12587260541098177,0.003954973240551329,0.0003,selection,10,25,0,0,0,19,0,0,6,25,0,37,27,6,26,25,25,llm_evaluation,316.6583,10,10,10,100,0.27,0.1,0.21399999999999997,0.05499090833947009,0.09863984674858972,0.08829296404123306,-0.2744954985772645,0.08829296404123306,0.13998,0.3722691162282956,13,12,75,0.13,0.25,10,31.6658,3.1666,llm_multiagent_system,1,training_data_update,10,170,retraining,170,0.014589332734398983
17,2025-12-21 04:02:34.805170,generation,11.1003,476,random,prediction,0.1269,476,0.12940487265586853,0.10127828270196915,0.12366210373447221,0.00533584016187119,0.0003,selection,10,25,0,0,0,18,2,0,5,25,0,32,26,13,25,25,25,llm_evaluation,406.701,10,10,10,100,0.33999999999999997,0.0,0.184,0.1005186549850325,0.11323207562080616,0.09123903089761733,0.48229221480154055,0.09123903089761733,0.11483999999999998,0.31829931451899407,10,12,78,0.1,0.22,10,40.6701,4.067,llm_multiagent_system,1,training_data_update,10,180,retraining,180,0.014632832031283113
18,2025-12-21 04:06:01.199394,generation,11.248,470,random,prediction,0.1255,470,0.1349826455116272,0.1124521940946579,0.13141531142148566,0.0047056996405412,0.0003,selection,10,25,0,0,0,5,0,0,20,25,0,34,25,5,36,25,25,llm_evaluation,191.3183,10,10,10,100,0.44000000000000006,0.1,0.23900000000000002,0.09637945839233587,0.1418291951029098,0.11104075038433077,0.13905198662424467,0.11104075038433077,0.15789000000000003,0.3945043688185901,19,7,74,0.19,0.26,10,19.1318,1.9132,llm_multiagent_system,1,training_data_update,10,190,retraining,190,0.015031778802605051
19,2025-12-21 04:09:28.952697,generation,11.1111,460,random,prediction,0.1281,460,0.13889344036579132,0.12582048773765564,0.13644587423490442,0.00208392698000931,0.0003,selection,10,25,0,0,0,0,0,0,25,25,0,34,25,15,26,25,25,llm_evaluation,192.465,10,10,10,100,0.44000000000000006,0.0,0.10500000000000002,0.14691834466805023,0.1506234925070914,0.13261771380901338,0.02743469224927989,0.13261771380901338,0.06189,0.15517488873854385,7,5,88,0.07,0.12,10,19.2465,1.9247,llm_multiagent_system,1,training_data_update,10,200,retraining,200,0.01522423654794693
20,2025-12-21 04:13:02.143376,generation,12.0882,450,random,prediction,0.1219,450,0.14403383433818817,0.1124805137515068,0.1370405032237371,0.004774724948621473,0.0003,selection,10,25,0,0,0,11,2,0,10,23,0,35,17,29,15,25,25,llm_evaluation,196.7411,10,10,10,100,0.30999999999999994,0.0,0.162,0.10205880657738459,0.10369173459098106,0.09061144840717315,0.1040725376313055,0.09061144840717315,0.11274000000000002,0.31410586465577345,12,6,82,0.12,0.18,10,19.6741,1.9674,llm_multiagent_system,1,training_data_update,10,210,retraining,210,0.015040628008899234
21,2025-12-21 04:17:23.449594,generation,11.8659,440,random,prediction,0.1189,440,0.14214183390140533,0.10734918713569641,0.13874759286303412,0.005877384543013938,0.0003,selection,10,25,0,0,0,6,0,0,19,25,0,38,20,10,32,25,25,llm_evaluation,244.9412,10,10,10,100,0.37,0.0,0.187,0.12124768039018312,0.12931018837703837,0.11058568799495697,-0.6390481995158807,0.11058568799495697,0.11423000000000001,0.2982749171385989,11,11,78,0.11,0.22,10,24.4941,2.4494,llm_multiagent_system,1,training_data_update,10,220,retraining,220,0.015114537592638623
22,2025-12-21 04:23:51.884771,generation,11.9684,430,random,prediction,0.1154,430,0.14610512554645538,0.10223179310560226,0.14082689628351566,0.008825312986123402,0.0003,selection,10,25,0,0,0,10,6,0,9,25,0,32,24,15,29,25,25,llm_evaluation,372.2615,10,10,10,100,0.33999999999999997,0.0,0.179,0.09964436762808021,0.10499927609040573,0.08982814425230026,-0.368673793547813,0.08982814425230026,0.12233000000000002,0.3281294928407914,13,7,80,0.13,0.2,10,37.2262,3.7226,llm_multiagent_system,1,training_data_update,10,230,retraining,230,0.014955097517889478
23,2025-12-21 04:29:41.731180,generation,12.2563,420,random,prediction,0.1139,420,0.14760234951972961,0.10153671354055405,0.13968821448229607,0.010420702115692468,0.0003,selection,10,25,0,0,0,11,9,0,5,25,0,25,29,20,26,25,25,llm_evaluation,333.3281,10,10,10,100,0.37,0.0,0.213,0.11402192771568108,0.1317188997706917,0.12474473762512206,-0.8512218529687102,0.12474473762512206,0.13573,0.3288513738063169,15,9,76,0.15,0.24,10,33.3328,3.3333,llm_multiagent_system,1,training_data_update,10,240,retraining,240,0.015039049399395784
24,2025-12-21 04:36:18.363974,generation,12.2351,410,random,prediction,0.1118,410,0.1488398015499115,0.10895214974880219,0.14543960828606675,0.006967623034438701,0.0003,selection,10,25,0,0,0,12,10,0,3,25,0,27,19,20,34,25,25,llm_evaluation,380.074,10,10,10,100,0.38,0.0,0.21600000000000003,0.12626955294131678,0.14306008574678403,0.12672880029678346,-0.29962741245913477,0.12672880029678346,0.1366,0.32939990531185587,16,8,76,0.16,0.24,10,38.0074,3.8007,llm_multiagent_system,1,training_data_update,10,250,retraining,250,0.015312789291143417
25,2025-12-21 04:44:18.145114,generation,12.3107,400,random,prediction,0.1102,400,0.14979851245880127,0.10167157649993896,0.14410484336316587,0.009534522589701517,0.0003,selection,10,25,0,0,0,13,7,0,5,25,0,37,10,18,35,25,25,llm_evaluation,462.8543,10,10,10,100,0.27,0.06999999999999999,0.162,0.07400000000000001,0.07504260905992712,0.06804278719425202,-0.3475563256262685,0.06804278719425202,0.11768000000000003,0.33705397592614644,12,6,82,0.12,0.18,10,46.2854,4.6285,llm_multiagent_system,1,training_data_update,10,260,retraining,260,0.01488019680747619
26,2025-12-21 04:52:03.511490,generation,12.2822,390,random,prediction,0.1074,390,0.1526344269514084,0.09876993298530579,0.14371046381883132,0.010113773667207537,0.0003,selection,10,25,0,0,0,13,12,0,0,25,0,36,14,29,21,25,25,llm_evaluation,448.3286,10,10,10,100,0.27,0.06999999999999999,0.183,0.0714212853426764,0.07775252525695997,0.06609774124622345,-0.31735407777977903,0.06609774124622345,0.12551,0.34520370535479755,12,9,79,0.12,0.21,10,44.8329,4.4833,llm_multiagent_system,1,training_data_update,10,270,retraining,270,0.014569187736897558
27,2025-12-21 04:57:37.251845,generation,12.1168,380,random,prediction,0.1042,380,0.15290789306163788,0.1329936385154724,0.15086586581248987,0.003184061021199029,0.0003,selection,10,25,0,0,0,9,7,0,9,25,0,37,20,19,22,25,25,llm_evaluation,316.8049,10,10,10,100,0.33999999999999997,0.0,0.149,0.11742657280190034,0.11749258137545894,0.10100241845846177,-0.125683521658742,0.10100241845846177,0.09831,0.25929230094388134,10,7,83,0.1,0.17,10,31.6805,3.168,llm_multiagent_system,1,training_data_update,10,280,retraining,280,0.014440464148563998
28,2025-12-21 05:02:11.286927,generation,12.3034,370,random,prediction,0.0986,370,0.15230144560337067,0.11188498139381409,0.14951872058414123,0.006519862101040459,0.0003,selection,10,25,0,0,0,11,10,0,4,25,0,24,26,25,18,25,25,llm_evaluation,256.735,10,10,10,100,0.0,0.0,0.0,0.0,0.15281800329883172,0.1528180032968521,,0.1528180032968521,0.0,0.0,0,0,100,0.0,0.0,10,25.6735,2.5673,llm_multiagent_system,1,training_data_update,10,290,retraining,290,0.014703612556231434
29,2025-12-21 05:08:01.487587,generation,11.9815,360,random,prediction,0.0972,360,0.15268774330615997,0.08255226910114288,0.13668932198650308,0.016007977436791374,0.0003,selection,10,25,0,0,0,9,12,0,4,25,0,23,27,26,19,25,25,llm_evaluation,333.0319,10,10,10,100,0.27,0.1,0.193,0.0673869423553258,0.07848142833513994,0.06387517154216768,0.3894421895486339,0.06387517154216768,0.13230999999999998,0.35982342277383894,13,9,78,0.13,0.22,10,33.3032,3.3303,llm_multiagent_system,1,training_data_update,10,300,retraining,300,0.014504206677277883
30,2025-12-21 05:13:14.006977,generation,11.9022,350,random,prediction,0.095,350,0.14846232533454895,0.10505495965480804,0.1452999303170613,0.007159824531846316,0.0003,selection,10,25,0,0,0,7,11,0,7,25,0,27,23,28,20,25,25,llm_evaluation,295.3588,10,10,10,100,0.16999999999999998,0.0,0.08499999999999999,0.07351870510285119,0.09967188460294839,0.07792057824134827,,0.07792057824134827,0.06187,0.19196634070698076,5,5,90,0.05,0.1,10,29.5359,2.9536,llm_multiagent_system,1,training_data_update,10,310,retraining,310,0.014358312312153078
31,2025-12-21 05:19:23.506733,generation,12.0763,340,random,prediction,0.0912,340,0.14776137471199036,0.07876503467559814,0.1408696349929361,0.011698304351682832,0.0003,selection,10,25,0,0,0,14,6,0,5,25,0,18,29,32,20,25,25,llm_evaluation,351.9188,10,10,10,100,0.27,0.0,0.11200000000000002,0.10647065323364932,0.11384290279908293,0.10246028912067415,,0.10246028912067415,0.07552,0.21066201780044694,7,6,87,0.07,0.13,10,35.1919,3.5192,llm_multiagent_system,1,training_data_update,10,320,retraining,320,0.01428654370829463
32,2025-12-21 05:26:13.742377,generation,12.1413,332,random,prediction,0.0919,332,0.14792092144489288,0.11394765973091125,0.14368400312062488,0.0036587910466506176,0.0003,selection,10,25,0,0,0,17,5,0,3,25,0,9,40,32,17,25,25,llm_evaluation,392.4209,10,10,10,100,0.33999999999999997,0.1,0.223,0.07510659092250159,0.10478312233220936,0.09299048948287963,-0.11117800884887057,0.09299048948287963,0.14873000000000003,0.3826908299677008,16,9,75,0.16,0.25,10,39.2421,3.9242,llm_multiagent_system,1,training_data_update,10,330,retraining,330,0.014147632687606595
33,2025-12-21 05:32:31.877050,generation,12.0999,326,random,prediction,0.0872,326,0.14843887090682983,0.0888155847787857,0.14092695681046855,0.014319840870690229,0.0003,selection,10,25,0,0,0,13,4,0,8,25,0,21,26,34,18,25,25,llm_evaluation,360.1568,10,10,10,100,0.33999999999999997,0.0,0.14500000000000002,0.13640014662748717,0.13643716786119417,0.13099296367168428,0.5645155221884715,0.13099296367168428,0.09487,0.2334626109911128,11,5,84,0.11,0.16,10,36.0157,3.6016,llm_multiagent_system,1,training_data_update,10,340,retraining,340,0.014263301539947005
34,2025-12-21 05:37:19.456912,generation,11.9369,317,random,prediction,0.0862,317,0.14615102112293243,0.07579105347394943,0.13810074254165314,0.014690905475880967,0.0003,selection,10,25,0,0,0,15,4,0,6,25,0,21,20,31,26,25,25,llm_evaluation,269.6283,10,10,10,100,0.33999999999999997,0.0,0.155,0.1122719911643149,0.11246354260371333,0.09562445163726807,,0.09562445163726807,0.10787000000000002,0.2739834773294937,12,5,83,0.12,0.17,10,26.9628,2.6963,llm_multiagent_system,1,training_data_update,10,350,retraining,350,0.014093222405229295
35,2025-12-21 05:43:08.708826,generation,11.9065,308,random,prediction,0.0869,308,0.15378323197364807,0.08572498708963394,0.14086323947488488,0.0127547489009252,0.0003,selection,10,25,0,0,0,8,8,0,9,25,0,18,37,24,19,25,25,llm_evaluation,331.0338,10,10,10,100,0.41,0.0,0.10200000000000001,0.12114454176726246,0.13149607421803763,0.1089493389725685,-0.26744677196077876,0.1089493389725685,0.06432000000000002,0.19260746576976703,6,6,88,0.06,0.12,10,33.1034,3.3103,llm_multiagent_system,1,training_data_update,10,360,retraining,360,0.014097382914688853
36,2025-12-21 05:49:16.698642,generation,11.992,298,random,prediction,0.0846,298,0.15334762632846832,0.10814636200666428,0.1482064674964687,0.007948545457082158,0.0003,selection,10,25,0,0,0,14,11,0,0,25,0,14,34,30,19,25,25,llm_evaluation,349.6025,10,10,10,100,0.44000000000000006,0.0,0.14900000000000002,0.14334922392534952,0.14341513816432347,0.11833047473430633,,0.11833047473430633,0.09155,0.23336736122559318,10,7,83,0.1,0.17,10,34.9603,3.496,llm_multiagent_system,1,training_data_update,10,370,retraining,370,0.014323334134108311
37,2025-12-21 05:54:43.817655,generation,11.909,288,random,prediction,0.0774,288,0.14987045526504517,0.08564723283052444,0.14381445041443738,0.013795683349220295,0.0003,selection,10,25,0,0,0,8,10,0,7,25,0,14,37,27,19,25,25,llm_evaluation,307.6702,10,10,10,100,0.27,0.0,0.098,0.117285975291166,0.12968947428452227,0.12533905053138733,,0.12533905053138733,0.06624,0.17689281155014372,7,4,89,0.07,0.11,10,30.767,3.0767,llm_multiagent_system,1,training_data_update,10,380,retraining,380,0.01445310238356653
38,2025-12-21 06:01:27.994189,generation,11.7388,278,random,prediction,0.0745,278,0.15005671977996826,0.10984571278095245,0.14596902367344006,0.00743336890230609,0.0003,selection,10,25,0,0,0,5,4,0,16,25,0,23,21,34,20,25,25,llm_evaluation,384.8474,10,10,10,100,0.27,0.0,0.092,0.09816312953446421,0.11493453694441161,0.09652514910697937,0.08608150577043809,0.09652514910697937,0.0613,0.17261971741904147,5,6,89,0.05,0.11,10,38.4847,3.8485,llm_multiagent_system,1,training_data_update,10,390,retraining,390,0.01439080202522186
39,2025-12-21 06:07:34.707182,generation,11.7234,270,random,prediction,0.0727,270,0.14542919397354126,0.0792989730834961,0.13587588099417863,0.016477440451721004,0.0003,selection,10,25,0,0,0,3,10,0,12,25,0,17,24,31,28,25,25,llm_evaluation,347.208,10,10,10,100,0.33999999999999997,0.0,0.126,0.11825396399275587,0.12078099242189615,0.10607042586803435,-0.8175014065811287,0.10607042586803435,0.07934,0.21695918279355983,7,8,85,0.07,0.15,10,34.7208,3.4721,llm_multiagent_system,1,training_data_update,10,400,retraining,400,0.014315052516758442
