iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_Validator,step_3_selection_good_graphs_description_node_type_counts_True_pass,step_3_selection_good_graphs_description_node_type_counts_False_pass,step_3_selection_good_graphs_description_node_type_counts_Split,step_3_selection_good_graphs_description_node_type_counts_Decompose_2,step_3_selection_good_graphs_description_node_type_counts_Decompose_3,step_3_selection_good_graphs_description_node_type_counts_Decompose_4,step_3_selection_good_graphs_description_node_type_counts_Combine_all,step_3_selection_good_graphs_description_node_type_counts_Combine_any,step_3_selection_good_graphs_description_node_type_counts_Solver,step_3_selection_good_graphs_description_node_type_counts_Python_solver,step_3_selection_good_graphs_description_node_type_counts_Explain,step_3_selection_good_graphs_description_node_type_counts_Extract_topic,step_3_selection_good_graphs_description_node_type_counts_START,step_3_selection_good_graphs_description_node_type_counts_END,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-22 17:26:19.849178,generation,10.4132,638,random,prediction,0.0004,638,0.9996555459791715,0.004290994379542834,0.46701248643890797,0.2916892137329288,0.0,selection,5,5,1,1,1,2,2,0,0,4,1,9,4,2,3,5,5,llm_evaluation,128.8035,5,10,10,50,0.8227500000000001,0.16574039796059833,0.6411821705012106,0.2493267280280452,0.43366814059012704,0.3549446074469786,0.07797088238086684,0.3549446074469786,0.09744280043892771,0.30327269662727063,26,24,0,0.52,1.0,5,25.7607,2.5761,llm_multiagent_system,1,training_data_update,5,5,retraining,5,0.01980406604707241
1,2025-12-22 17:33:04.373295,generation,10.5897,633,random,prediction,0.0126,633,0.778885543346405,0.3346691429615021,0.5855052309672791,0.13238781547896156,0.0,selection,5,10,0,0,0,0,0,0,10,10,0,0,25,0,15,10,10,llm_evaluation,393.5693,5,10,10,50,0.7604583333333335,0.6230576923076924,0.6955003496503496,0.04861943550947671,0.2920923899615473,0.28835752437417606,0.6740822160462623,0.28835752437417606,0.14078769768234387,0.36743860447330684,28,20,2,0.56,0.96,5,78.7139,7.8714,llm_multiagent_system,1,training_data_update,5,10,retraining,10,0.023682575672864914
2,2025-12-22 17:36:02.037511,generation,11.3009,628,random,prediction,0.0139,628,0.7341554760932922,0.5757992267608643,0.6705128506870027,0.04344405845603469,0.0,selection,5,10,0,0,0,0,0,0,10,10,0,0,20,0,20,10,10,llm_evaluation,166.0446,5,10,10,50,0.7854372341406103,0.6454500000000001,0.7225989722113076,0.047640981870598516,0.07362420692505081,0.0598798879671534,-0.6543636900568882,0.0598798879671534,0.132100715445316,0.3620485827710329,30,19,1,0.6,0.98,5,33.2089,3.3209,llm_multiagent_system,1,training_data_update,5,15,retraining,15,0.018264735117554665
3,2025-12-22 17:39:10.971323,generation,10.9925,623,random,prediction,0.0281,623,0.7212873697280884,0.5900289416313171,0.6691378402863039,0.03320681427753014,0.0,selection,5,10,0,0,0,0,0,0,10,10,0,0,20,0,20,10,10,llm_evaluation,177.5737,5,10,10,50,0.8150000000000001,0.75429857366031,0.7859141574107928,0.024130811306383948,0.02756325161219633,0.02549908138189174,,0.02549908138189174,0.137456555682762,0.3702538799781806,37,11,2,0.74,0.96,5,35.5147,3.5515,llm_multiagent_system,1,training_data_update,5,20,retraining,20,0.014036674983799458
4,2025-12-22 17:42:19.034228,generation,11.0123,618,random,prediction,0.0112,618,0.7475945949554443,0.618774950504303,0.6820951209292057,0.027938077282644934,0.0,selection,5,10,2,2,2,0,0,1,7,8,2,6,22,0,7,10,10,llm_evaluation,176.627,5,10,10,50,0.9087500000000001,0.6663694294641239,0.7486353265707909,0.08327696813706431,0.08287828862505699,0.05761170607157362,0.22862639615389033,0.05761170607157362,0.1481636327122603,0.38100913236514106,35,15,0,0.7,1.0,5,35.3254,3.5325,llm_multiagent_system,1,training_data_update,5,25,retraining,25,0.013690251857042313
5,2025-12-22 17:43:39.591757,generation,11.1048,615,random,prediction,0.0121,615,0.748200535774231,0.6390288472175598,0.6894582116506933,0.023709156290587043,0.0,selection,5,10,2,2,2,0,0,0,8,8,2,6,21,0,9,10,10,llm_evaluation,69.0184,5,10,10,50,0.7787464999231285,0.0,0.5650515222068758,0.28628635894807103,0.3385871783877967,0.1938761386983496,-0.3542095501743165,0.1938761386983496,0.12210262882998821,0.30942591155431404,24,14,12,0.48,0.76,5,13.8037,1.3804,llm_multiagent_system,1,training_data_update,5,30,retraining,30,0.03100665844976902
6,2025-12-22 17:46:24.847529,generation,11.8042,610,random,prediction,0.0133,610,0.7228358387947083,0.6242156624794006,0.6746284388127874,0.01779403652770127,0.0,selection,5,10,4,4,4,0,0,0,6,6,4,8,20,2,2,10,10,llm_evaluation,152.9193,5,10,10,50,0.8564772727272727,0.7098311735345497,0.7511945906259412,0.05358733598698843,0.053377155375786065,0.03321901419708469,0.5270471313978248,0.03321901419708469,0.14746174242335722,0.38130700134274853,35,14,1,0.7,0.98,5,30.5839,3.0584,llm_multiagent_system,1,training_data_update,5,35,retraining,35,0.02590739451614874
7,2025-12-22 17:49:33.608060,generation,10.7925,607,random,prediction,0.0103,607,0.7418962717056274,0.6089069843292236,0.6735941779476021,0.024527685324100514,0.0,selection,5,10,1,1,1,0,0,0,9,9,1,6,27,5,0,10,10,llm_evaluation,177.437,5,10,10,50,0.9037499999999999,0.749,0.8170273504273503,0.0569020375827825,0.1003944636412603,0.08136022901698055,-0.5981424024920843,0.08136022901698055,0.12095755973044049,0.34545435265048985,39,9,2,0.78,0.96,5,35.4874,3.5487,llm_multiagent_system,1,training_data_update,5,40,retraining,40,0.02099370751529932
8,2025-12-22 17:52:22.458193,generation,10.5576,603,random,prediction,0.0103,603,0.7353392839431763,0.5878425240516663,0.6641350861014814,0.031559421017809196,0.0,selection,5,10,1,1,1,0,0,0,9,9,1,3,27,8,0,10,10,llm_evaluation,157.7262,5,10,10,50,1.0,0.6660362666666667,0.7877443745454545,0.11276069469454814,0.1248577180388366,0.08119915509220008,-0.0810993761545719,0.08119915509220008,0.10407005386405825,0.2867046548991381,35,15,0,0.7,1.0,5,31.5452,3.1545,llm_multiagent_system,1,training_data_update,5,45,retraining,45,0.020460062318791945
9,2025-12-22 17:55:32.942754,generation,10.8129,601,random,prediction,0.0143,601,0.765772819519043,0.6208588480949402,0.6852534350856965,0.045726435308127165,0.0,selection,5,10,1,1,1,0,0,0,9,9,1,3,22,13,0,10,10,llm_evaluation,179.0818,5,10,10,50,0.9376923076923077,0.7476388888888889,0.8540491406898159,0.07976120469319524,0.1188925251983433,0.09495734312605117,0.6670551943782602,0.09495734312605117,0.09368554814309127,0.2972976291549904,41,8,1,0.82,0.98,5,35.8164,3.5816,llm_multiagent_system,1,training_data_update,5,50,retraining,50,0.01920816456899047
