iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics_count,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-21T23:47:11.215030,generation,10.9759,638,random,prediction,0.0004,638,0.9997988636823846,0.0043390346826696,0.5211487491887812,0.2836082975672159,0.0,selection,5,5,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 1, 'Decompose_2': 2, 'Decompose_3': 1, 'Decompose_4': 1, 'Combine_all': 5, 'Combine_any': 0, 'Solver': 3, 'Python_solver': 3, 'Explain': 7, 'Extract_topic': 6, 'START': 5, 'END': 5}",llm_evaluation,169.4675,5,10,10,50,0.24,0.0,0.144,0.0952050418832952,0.8586864998519081,0.8531812330097648,-0.5700721075428703,0.8531812330097648,0.089,0.2611908457662154,3,6,41,0.06,0.18,5,33.8935,3.3894,llm_multiagent_system,['unknown'],training_data_update,5,5,retraining,5,0.0130505440756678
1,2025-12-21T23:49:37.665042,generation,12.0004,633,random,prediction,0.0118,633,0.3031486272811889,0.1945062726736068,0.2420180378272823,0.0215689498321931,0.0,selection,5,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 0, 'Decompose_3': 8, 'Decompose_4': 0, 'Combine_all': 10, 'Combine_any': 0, 'Solver': 0, 'Python_solver': 17, 'Explain': 0, 'Extract_topic': 13, 'START': 10, 'END': 10}",llm_evaluation,134.189,5,10,10,50,0.38,0.0,0.13,0.1405702671264446,0.868139456607866,0.8568791197113598,0.6340555478634511,0.8568791197113598,0.07234,0.207182583140381,3,5,42,0.06,0.16,5,26.8378,2.6838,llm_multiagent_system,['unknown'],training_data_update,5,10,retraining,10,0.0191907472908496
2,2025-12-21T23:52:17.078898,generation,11.4054,628,random,prediction,0.0135,628,0.2866789698600769,0.1686395853757858,0.2086016284242557,0.0166198398191998,0.0,selection,5,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 0, 'Decompose_3': 3, 'Decompose_4': 1, 'Combine_all': 6, 'Combine_any': 0, 'Solver': 1, 'Python_solver': 19, 'Explain': 1, 'Extract_topic': 4, 'START': 10, 'END': 10}",llm_evaluation,147.7615,5,10,10,50,0.0,0.0,0.0,0.0,0.30158698184598,0.3015846133232117,,0.3015846133232117,0.0,0.0,0,0,50,0.0,0.0,5,29.5523,2.9552,llm_multiagent_system,['unknown'],training_data_update,5,15,retraining,15,0.0690171867609024
3,2025-12-21T23:53:26.511730,generation,13.7593,623,random,prediction,0.0267,623,0.3458961248397827,0.2864909172058105,0.3082409663242474,0.0096264879923104,0.0,selection,5,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 2, 'Decompose_2': 0, 'Decompose_3': 7, 'Decompose_4': 0, 'Combine_all': 9, 'Combine_any': 0, 'Solver': 7, 'Python_solver': 12, 'Explain': 2, 'Extract_topic': 8, 'START': 10, 'END': 10}",llm_evaluation,55.4174,5,10,10,50,0.2,0.0,0.04,0.08,0.3075998865321901,0.298042801618576,0.9683084581188148,0.298042801618576,0.032,0.08,2,0,48,0.04,0.04,5,11.0835,1.1083,llm_multiagent_system,['unknown'],training_data_update,5,20,retraining,20,0.0284594893455505
4,2025-12-21T23:55:07.031862,generation,12.0847,618,random,prediction,0.0289,618,0.2220631539821624,0.1670180857181549,0.175926871838886,0.0069046581685666,0.0,selection,5,10,"{'Validator': 1, 'True_pass': 1, 'False_pass': 1, 'Split': 2, 'Decompose_2': 0, 'Decompose_3': 3, 'Decompose_4': 0, 'Combine_all': 5, 'Combine_any': 1, 'Solver': 2, 'Python_solver': 15, 'Explain': 1, 'Extract_topic': 6, 'START': 10, 'END': 10}",llm_evaluation,88.1993,5,10,10,50,0.1699999999999999,0.0,0.088,0.0762627038597504,0.2561579706274727,0.244771623134613,0.6645849283314746,0.244771623134613,0.06604,0.1986217876093076,3,2,45,0.06,0.1,5,17.6399,1.764,llm_multiagent_system,['unknown'],training_data_update,5,25,retraining,25,0.0392956398427486
5,2025-12-21T23:58:11.343300,generation,14.6455,613,random,prediction,0.0167,613,0.3443618416786194,0.2075731009244918,0.2536574384808346,0.0189804529421383,0.0,selection,5,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 3, 'Decompose_2': 0, 'Decompose_3': 3, 'Decompose_4': 4, 'Combine_all': 10, 'Combine_any': 0, 'Solver': 0, 'Python_solver': 26, 'Explain': 0, 'Extract_topic': 8, 'START': 10, 'END': 10}",llm_evaluation,169.4089,5,10,10,50,0.0,0.0,0.0,0.0,0.3140187573573106,0.31353520154953,,0.31353520154953,0.0,0.0,0,0,50,0.0,0.0,5,33.8818,3.3882,llm_multiagent_system,['unknown'],training_data_update,5,30,retraining,30,0.0209319703280925
0,2025-12-22T00:04:49.317957,generation,13.2313,638,random,prediction,0.0033,638,0.9993431179779702,0.0003771424348273,0.494423714932942,0.2924076651586854,0.0,selection,5,5,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 0, 'Decompose_3': 0, 'Decompose_4': 4, 'Combine_all': 4, 'Combine_any': 0, 'Solver': 6, 'Python_solver': 6, 'Explain': 2, 'Extract_topic': 3, 'START': 5, 'END': 5}",llm_evaluation,237.8216,5,10,10,50,0.73275,0.0604666666666666,0.4445933333333333,0.2916094841298567,0.6250992405660678,0.5518808098331467,-0.9544800270682188,0.5518808098331467,0.0751221317325528,0.2561735167505928,14,28,8,0.28,0.84,5,47.5643,4.7564,llm_multiagent_system,['unknown'],training_data_update,5,5,retraining,5,0.071999967098236
1,2025-12-22T00:06:51.285325,generation,10.9033,633,random,prediction,0.0843,633,0.5256639122962952,0.3744987249374389,0.4407691397184821,0.035214468035703,0.0001,selection,5,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 0, 'Decompose_3': 0, 'Decompose_4': 10, 'Combine_all': 10, 'Combine_any': 0, 'Solver': 4, 'Python_solver': 31, 'Explain': 4, 'Extract_topic': 1, 'START': 10, 'END': 10}",llm_evaluation,109.9803,5,10,10,50,0.7371474358974359,0.0,0.4323173076923076,0.3531270993781887,0.6594216997303136,0.5577074716996496,0.653900309194721,0.5577074716996496,0.0608304908879848,0.1835268660889488,15,14,21,0.3,0.58,5,21.9961,2.1996,llm_multiagent_system,['unknown'],training_data_update,5,10,retraining,10,0.0944594368338584
2,2025-12-22T00:09:48.053391,generation,14.5106,628,random,prediction,0.0794,628,0.4915511906147003,0.4175604283809662,0.4524390099534563,0.0141564504647776,0.0001,selection,5,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 0, 'Decompose_3': 4, 'Decompose_4': 6, 'Combine_all': 10, 'Combine_any': 0, 'Solver': 0, 'Python_solver': 21, 'Explain': 4, 'Extract_topic': 11, 'START': 10, 'END': 10}",llm_evaluation,161.7648,5,10,10,50,0.8281645068678831,0.6136515151515152,0.6971150537799937,0.0757655565547391,0.1960163996559349,0.1827267190288646,0.8648352829904223,0.1827267190288646,0.0878688288369809,0.2942725048365097,23,27,0,0.46,1.0,5,32.353,3.2353,llm_multiagent_system,['unknown'],training_data_update,5,15,retraining,15,0.067319169640541
3,2025-12-22T00:12:27.610942,generation,11.2773,624,random,prediction,0.0127,624,0.5901508927345276,0.3866266310214996,0.4740429702095496,0.0431608810602544,0.0,selection,5,10,"{'Validator': 0, 'True_pass': 0, 'False_pass': 0, 'Split': 0, 'Decompose_2': 1, 'Decompose_3': 0, 'Decompose_4': 9, 'Combine_all': 10, 'Combine_any': 0, 'Solver': 0, 'Python_solver': 30, 'Explain': 8, 'Extract_topic': 2, 'START': 10, 'END': 10}",llm_evaluation,148.0784,5,10,10,50,0.8227500000000001,0.6677500000000001,0.7369788769046325,0.0576734671064675,0.158906456339366,0.1481027129451293,0.0540012350318194,0.1481027129451293,0.1435232102006514,0.3777844815930108,33,16,1,0.66,0.98,5,29.6157,2.9616,llm_multiagent_system,['unknown'],training_data_update,5,20,retraining,20,0.057647205889225
