iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_Validator,step_3_selection_good_graphs_description_node_type_counts_True_pass,step_3_selection_good_graphs_description_node_type_counts_False_pass,step_3_selection_good_graphs_description_node_type_counts_Split,step_3_selection_good_graphs_description_node_type_counts_Decompose_2,step_3_selection_good_graphs_description_node_type_counts_Decompose_3,step_3_selection_good_graphs_description_node_type_counts_Decompose_4,step_3_selection_good_graphs_description_node_type_counts_Combine_all,step_3_selection_good_graphs_description_node_type_counts_Combine_any,step_3_selection_good_graphs_description_node_type_counts_Solver,step_3_selection_good_graphs_description_node_type_counts_Python_solver,step_3_selection_good_graphs_description_node_type_counts_Explain,step_3_selection_good_graphs_description_node_type_counts_Extract_topic,step_3_selection_good_graphs_description_node_type_counts_START,step_3_selection_good_graphs_description_node_type_counts_END,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_graphs,step_4_evaluation_num_problems_available,step_4_evaluation_num_problems_per_graph,step_4_evaluation_num_evaluations,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_mae_gnn_vs_llm,step_4_evaluation_correlation_gnn_llm,step_4_evaluation_mean_absolute_error_per_graph,step_4_evaluation_mean_variance_across_graphs,step_4_evaluation_mean_std_across_graphs,step_4_evaluation_total_perfect_scores,step_4_evaluation_total_partial_scores,step_4_evaluation_total_failed_scores,step_4_evaluation_success_rate_perfect,step_4_evaluation_success_rate_any,step_4_evaluation_per_graph_metrics,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_time_per_problem,step_4_evaluation_metadata_evaluation_method,step_4_evaluation_metadata_problem_categories,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-12-22 00:04:49.317957,generation,13.2313,638,random,prediction,0.0033,638,0.9993431179779702,0.0003771424348273378,0.494423714932942,0.2924076651586854,0.0,selection,5,5,0,0,0,0,0,0,4,4,0,6,6,2,3,5,5,llm_evaluation,237.8216,5,10,10,50,0.73275,0.060466666666666655,0.4445933333333333,0.2916094841298567,0.6250992405660678,0.5518808098331467,-0.9544800270682189,0.5518808098331467,0.0751221317325528,0.2561735167505928,14,28,8,0.28,0.84,5,47.5643,4.7564,llm_multiagent_system,1,training_data_update,5,5,retraining,5,0.07199996709823608
1,2025-12-22 00:06:51.285325,generation,10.9033,633,random,prediction,0.0843,633,0.5256639122962952,0.37449872493743896,0.4407691397184821,0.03521446803570309,0.0001,selection,5,10,0,0,0,0,0,0,10,10,0,4,31,4,1,10,10,llm_evaluation,109.9803,5,10,10,50,0.7371474358974359,0.0,0.43231730769230764,0.3531270993781887,0.6594216997303136,0.5577074716996496,0.653900309194721,0.5577074716996496,0.06083049088798489,0.1835268660889488,15,14,21,0.3,0.58,5,21.9961,2.1996,llm_multiagent_system,1,training_data_update,5,10,retraining,10,0.09445943683385849
2,2025-12-22 00:09:48.053391,generation,14.5106,628,random,prediction,0.0794,628,0.4915511906147003,0.4175604283809662,0.4524390099534563,0.014156450464777677,0.0001,selection,5,10,0,0,0,0,0,4,6,10,0,0,21,4,11,10,10,llm_evaluation,161.7648,5,10,10,50,0.8281645068678831,0.6136515151515152,0.6971150537799937,0.07576555655473916,0.19601639965593495,0.1827267190288646,0.8648352829904223,0.1827267190288646,0.08786882883698095,0.2942725048365097,23,27,0,0.46,1.0,5,32.353,3.2353,llm_multiagent_system,1,training_data_update,5,15,retraining,15,0.06731916964054108
3,2025-12-22 00:12:27.610942,generation,11.2773,624,random,prediction,0.0127,624,0.5901508927345276,0.38662663102149963,0.4740429702095496,0.04316088106025449,0.0,selection,5,10,0,0,0,0,1,0,9,10,0,0,30,8,2,10,10,llm_evaluation,148.0784,5,10,10,50,0.8227500000000001,0.6677500000000001,0.7369788769046325,0.05767346710646752,0.15890645633936604,0.14810271294512936,0.05400123503181945,0.14810271294512936,0.14352321020065145,0.3777844815930108,33,16,1,0.66,0.98,5,29.6157,2.9616,llm_multiagent_system,1,training_data_update,5,20,retraining,20,0.057647205889225006
4,2025-12-22 00:17:33.139626,generation,12.0464,619,random,prediction,0.019,619,0.6263226866722107,0.42723792791366577,0.5211076995475227,0.04046205798339394,0.0,selection,5,10,0,0,0,0,5,0,4,9,0,2,26,6,4,10,10,llm_evaluation,293.2501,5,10,10,50,0.78175,0.7081617068398828,0.7338747434867097,0.026157720082694954,0.1198621366921845,0.11733794739372257,0.35718494462760547,0.11733794739372257,0.11185483140241788,0.32660678587157516,28,22,0,0.56,1.0,5,58.65,5.865,llm_multiagent_system,1,training_data_update,5,25,retraining,25,0.058069705963134766
5,2025-12-22 00:36:11.996619,generation,11.2328,614,random,prediction,0.0106,614,0.6248590350151062,0.5510943531990051,0.5856299774072069,0.016554489861184095,0.0,selection,5,10,2,2,2,0,7,0,0,7,2,5,19,2,7,10,10,llm_evaluation,1107.3057,5,10,10,50,0.8281645068678831,0.6387311157311157,0.7030046295703049,0.07120822569431365,0.10667854122174832,0.0800138306201095,0.43354733388851824,0.0800138306201095,0.1278120714935132,0.3498313205597349,28,21,1,0.56,0.98,5,221.4611,22.1461,llm_multiagent_system,1,training_data_update,5,30,retraining,30,0.04993877559900284
6,2025-12-22 00:42:49.998509,generation,11.2656,609,random,prediction,0.015,609,0.6166720390319824,0.5275274515151978,0.5784128607787522,0.018255519203174007,0.0,selection,5,10,0,0,0,0,9,0,1,10,0,2,20,4,13,10,10,llm_evaluation,386.319,5,10,10,50,0.8281645068678831,0.6382954545454546,0.7036722370379123,0.06875488293657955,0.10857962268019848,0.08426708662439908,0.2273378956281825,0.08426708662439908,0.10392656886352722,0.31501376474494613,25,24,1,0.5,0.98,5,77.2638,7.7264,llm_multiagent_system,1,training_data_update,5,35,retraining,35,0.03445024434477091
7,2025-12-22 01:01:15.152297,generation,11.7997,604,random,prediction,0.0138,604,0.6890882849693298,0.47817981243133545,0.5689353012288643,0.048355233349628615,0.0,selection,5,10,0,0,0,0,6,0,4,10,0,2,24,5,8,10,10,llm_evaluation,1092.9789,5,10,10,50,0.829414506867883,0.5455553672316384,0.7071069314139967,0.10913657525207725,0.11146021237598498,0.1055126564543247,-0.02288584333710044,0.1055126564543247,0.1534766872051744,0.3889782859899263,32,16,2,0.64,0.96,5,218.5958,21.8596,llm_multiagent_system,1,training_data_update,5,40,retraining,40,0.02876330614089966
8,2025-12-22 01:06:40.575386,generation,10.8328,599,random,prediction,0.01,599,0.7024400234222412,0.4466555714607239,0.5671857037707442,0.05928700563597346,0.0,selection,5,10,0,0,0,1,1,4,4,10,0,0,21,5,10,10,10,llm_evaluation,314.2789,5,10,10,50,0.8227500000000001,0.6576499942974573,0.7461827616569487,0.07128884515477278,0.08591670462917698,0.07716574499036451,-0.8767601517501886,0.07716574499036451,0.14371914701064833,0.376309395245899,34,15,1,0.68,0.98,5,62.8558,6.2856,llm_multiagent_system,1,training_data_update,5,45,retraining,45,0.031255360609955256
9,2025-12-22 01:09:26.830300,generation,11.0693,594,random,prediction,0.01,594,0.6934061050415039,0.5199496150016785,0.597279589083861,0.03906556806507596,0.0,selection,5,10,0,0,0,1,5,4,0,10,0,1,14,4,17,10,10,llm_evaluation,154.7469,5,10,10,50,0.81875,0.0,0.43205,0.3307520748234242,0.4183577873133656,0.3582646433830261,0.8511125147762846,0.3582646433830261,0.1251872375,0.3149138748839455,21,6,23,0.42,0.54,5,30.9494,3.0949,llm_multiagent_system,1,training_data_update,5,50,retraining,50,0.03994715929031372
