iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_1_generation_metadata_node_types,step_1_generation_metadata_num_graphs_per_iteration,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_solver,step_3_selection_good_graphs_description_node_type_counts_verifier,step_3_selection_good_graphs_description_node_type_counts_coordinator,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_samples,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_method,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-11-10 19:23:24.773379,generation,1.1555,25000,random,3,25000,prediction,0.0029,25000,0.9999550358552517,2.293572863809601e-05,0.4998177700559617,0.2890594729025973,0.0,selection,10,990,3777,3843,3648,evaluation,0.0001,10,0.5123883807172794,0.10132673325614544,0.2857671105149966,0.1355632447465855,0.72670666063148,0.0,synthetic_heuristic,training_data_update,10,10,retraining,10,0.0034549788322063395
1,2025-11-10 19:23:30.097146,generation,1.1279,25000,random,3,25000,prediction,0.5415,25000,0.526374485926637,0.04885181419888482,0.2675973459366846,0.08417129612686021,0.0,selection,10,1000,3813,3870,3669,evaluation,0.0001,10,0.3951209960981915,0.12711989156591522,0.2793432794235241,0.10384443874876643,0.7274966611226176,0.0,synthetic_heuristic,training_data_update,10,20,retraining,20,0.008097104987788544
2,2025-11-10 19:23:35.259243,generation,1.0774,25000,random,3,25000,prediction,0.5432,25000,0.5129037876075744,0.09833974259320696,0.2685173945574337,0.061944317190655185,0.0,selection,10,1000,3788,3842,3645,evaluation,0.0001,10,0.45496926574203644,0.08051526369317957,0.28576705030181637,0.13107833907504,0.725240737747648,0.0,synthetic_heuristic,training_data_update,10,30,retraining,30,0.008011742197003168
3,2025-11-10 19:23:40.512278,generation,1.0666,25000,random,3,25000,prediction,0.5927,25000,0.5460713732609757,0.05193556683235667,0.27383530229679864,0.07722447495162957,0.0,selection,10,1000,3697,3762,3573,evaluation,0.0001,10,0.41016052670545583,0.08642252872728874,0.23219105447911614,0.09684482220539244,0.7725249023613092,0.0,synthetic_heuristic,training_data_update,10,40,retraining,40,0.007798505699239881
4,2025-11-10 19:23:45.965682,generation,1.3012,25000,random,3,25000,prediction,0.546,25000,0.5581375330477196,0.07374999396651657,0.2719204692009747,0.0750267492158673,0.0,selection,10,1000,3671,3725,3551,evaluation,0.0001,10,0.3928755405446628,0.11022638189197426,0.26913178320311604,0.08723354727930421,0.7342508633100565,0.0,synthetic_heuristic,training_data_update,10,50,retraining,50,0.007821474992687512
5,2025-11-10 19:23:51.213600,generation,1.086,25000,random,3,25000,prediction,0.5406,25000,0.5107175818109433,0.09966567293770748,0.2693029437561849,0.06707818377009162,0.0,selection,10,1000,3641,3697,3538,evaluation,0.0001,10,0.49514173076159484,0.21818159875692625,0.3274590796310442,0.09347159371439012,0.6767567286899124,0.0,synthetic_heuristic,training_data_update,10,60,retraining,60,0.007603100369234626
6,2025-11-10 19:23:56.513618,generation,1.2625,25000,random,3,25000,prediction,0.5469,25000,0.5279208943899246,0.10545489179652719,0.27683962120546907,0.06857895456234457,0.0,selection,10,1000,3622,3682,3521,evaluation,0.0001,10,0.4272137621657035,0.1748195517112247,0.30026353891192664,0.09147520972642617,0.7028923804237646,0.0,synthetic_heuristic,training_data_update,10,70,retraining,70,0.00756147961421232
7,2025-11-10 19:24:01.576366,generation,1.0687,25000,random,3,25000,prediction,0.5507,25000,0.5065856878060273,0.12584124183775058,0.277573338597493,0.06367927968614348,0.0,selection,10,1000,3585,3641,3482,evaluation,0.0001,10,0.44625761049278023,0.10422394681452535,0.3054830826217999,0.1040467149763828,0.698970512599307,0.0,synthetic_heuristic,training_data_update,10,80,retraining,80,0.007469889004737017
8,2025-11-10 19:24:06.931891,generation,1.2219,25000,random,3,25000,prediction,0.5435,25000,0.49737842616147354,0.10417326827155424,0.2799280624123788,0.0640168553644166,0.0,selection,10,1000,3577,3617,3461,evaluation,0.0001,10,0.477233795559162,0.07014552629660437,0.2899525328720062,0.10709657451326356,0.7143747494706615,0.0,synthetic_heuristic,training_data_update,10,90,retraining,90,0.006917935700803051
9,2025-11-10 19:24:12.158552,generation,1.0922,25000,random,3,25000,prediction,0.5638,25000,0.5116682176086906,0.09707736498558511,0.27938140233382613,0.06653608741225939,0.0,selection,10,1000,3539,3585,3443,evaluation,0.0001,10,0.4146741472798251,0.0746300768615294,0.24845558528761305,0.10159393584612643,0.7543254550238999,0.0,synthetic_heuristic,training_data_update,10,100,retraining,100,0.007176388075940487
10,2025-11-10 19:24:18.005931,generation,1.2658,25000,random,3,25000,prediction,0.5459,25000,0.5116807039343958,0.11589575534172286,0.27856101583769605,0.06572564279104255,0.0,selection,10,1000,3513,3552,3413,evaluation,0.0001,10,0.4414826715929151,0.20276865392111418,0.2962820126238,0.07297620079207488,0.7029272675864264,0.0,synthetic_heuristic,training_data_update,10,110,retraining,110,0.006988782609842752
11,2025-11-10 19:24:24.705065,generation,1.1105,25000,random,3,25000,prediction,0.6228,25000,0.5049155066809969,0.12293004063562982,0.2801803666716081,0.06142662597907333,0.0,selection,10,1000,3484,3511,3390,evaluation,0.0001,10,0.48720629989788267,0.11328093101030567,0.2736393957577189,0.10875216190675562,0.7295052001105082,0.0,synthetic_heuristic,training_data_update,10,120,retraining,120,0.007003639712232936
12,2025-11-10 19:24:30.257401,generation,1.2283,25000,random,3,25000,prediction,0.643,25000,0.5247192939748143,0.1337639412375316,0.28064992172161196,0.06375564642966293,0.0,selection,10,1000,3441,3505,3345,evaluation,0.0001,10,0.43254235962422,0.11714263339527226,0.2218027116469521,0.08725572667446371,0.7777863413969779,0.0,synthetic_heuristic,training_data_update,10,130,retraining,130,0.00695219949792614
