iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_Validator,step_3_selection_good_graphs_description_node_type_counts_True_pass,step_3_selection_good_graphs_description_node_type_counts_False_pass,step_3_selection_good_graphs_description_node_type_counts_Split,step_3_selection_good_graphs_description_node_type_counts_Decompose_2,step_3_selection_good_graphs_description_node_type_counts_Decompose_3,step_3_selection_good_graphs_description_node_type_counts_Decompose_4,step_3_selection_good_graphs_description_node_type_counts_Combine_all,step_3_selection_good_graphs_description_node_type_counts_Combine_any,step_3_selection_good_graphs_description_node_type_counts_Solver,step_3_selection_good_graphs_description_node_type_counts_Python_solver,step_3_selection_good_graphs_description_node_type_counts_Explain,step_3_selection_good_graphs_description_node_type_counts_Extract_topic,step_3_selection_good_graphs_description_node_type_counts_START,step_3_selection_good_graphs_description_node_type_counts_END,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_samples,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_method,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-11-27 19:14:53.719161,generation,9.8776,6704,random,prediction,0.0026,6704,0.9999384348790356,0.0006511494958933994,0.4955965585627865,0.28460154724902165,0.0,selection,10,990,425,425,425,375,308,355,316,1354,425,2631,2763,1445,1430,990,990,evaluation,0.0,10,0.5189628960580699,0.31978312229965916,0.4112214179356064,0.06775637680141754,0.5920386476069694,0.0,synthetic_heuristic,training_data_update,10,10,retraining,10,0.0015366983134299517
1,2025-11-27 19:15:16.032878,generation,9.5415,6695,random,prediction,9.2383,6695,0.484119176864624,0.26674237847328186,0.3935686307847277,0.051042216376185987,0.0014,selection,10,1000,446,446,446,373,306,352,314,1345,446,2657,2766,1454,1433,1000,1000,evaluation,0.0,10,0.5976634677873653,0.2731075458869029,0.4082637902140185,0.11573656807455807,0.600262155147048,0.0,synthetic_heuristic,training_data_update,10,20,retraining,20,0.003445899114012718
2,2025-11-27 19:15:40.247131,generation,11.1821,6705,random,prediction,9.2004,6705,0.5854813456535339,0.23007479310035706,0.4048296942184613,0.07648487020154171,0.0014,selection,10,1000,453,453,453,371,303,350,309,1333,453,2631,2740,1469,1437,1000,1000,evaluation,0.001,10,0.5749668923388283,0.2726416742727266,0.4244221055159848,0.10448610604913197,0.5805259717945338,0.0001,synthetic_heuristic,training_data_update,10,30,retraining,30,0.004478791728615761
3,2025-11-27 19:16:05.350314,generation,10.6565,6769,random,prediction,9.332,6769,0.5909751653671265,0.27521437406539917,0.40211396700593777,0.0702160397838021,0.0014,selection,10,1000,459,459,459,368,303,343,308,1322,459,2627,2717,1469,1434,1000,1000,evaluation,0.001,10,0.5380621887553174,0.26707361269028573,0.39698354320897283,0.08706973357938819,0.6036441595840074,0.0001,synthetic_heuristic,training_data_update,10,40,retraining,40,0.005604956392198801
4,2025-11-27 19:16:30.094107,generation,10.4421,6572,random,prediction,9.0538,6572,0.5839405059814453,0.2706090807914734,0.3915291276198658,0.059578197174549166,0.0014,selection,10,1000,470,470,470,366,299,341,302,1308,470,2616,2698,1467,1419,1000,1000,evaluation,0.0,10,0.5366931673984003,0.27112238279839596,0.404053529157392,0.08281588637789428,0.5944701919356176,0.0,synthetic_heuristic,training_data_update,10,50,retraining,50,0.00553091311827302
5,2025-11-27 19:16:55.420892,generation,10.5069,6697,random,prediction,9.2742,6697,0.5935878157615662,0.2729272246360779,0.4139603965225835,0.056074091937899175,0.0014,selection,10,1000,482,482,482,366,295,334,299,1294,482,2611,2676,1469,1423,1000,1000,evaluation,0.001,10,0.5750863011823557,0.21776647669732024,0.4329848976387717,0.12188771179018994,0.5707344390802214,0.0001,synthetic_heuristic,training_data_update,10,60,retraining,60,0.0055868707597255705
6,2025-11-27 19:17:20.722872,generation,9.3031,6654,random,prediction,9.1266,6654,0.6044144034385681,0.17587797343730927,0.3989331413330278,0.07216329569601775,0.0014,selection,10,1000,488,488,488,370,288,331,296,1285,488,2636,2665,1434,1415,1000,1000,evaluation,0.001,10,0.5587807444283763,0.29496869980013596,0.41271127546531866,0.073966733350381,0.5811679081239153,0.0001,synthetic_heuristic,training_data_update,10,70,retraining,70,0.005269438999571971
7,2025-11-27 19:17:47.369609,generation,9.719,6718,random,prediction,9.5594,6718,0.6085357069969177,0.18825337290763855,0.40017650148882045,0.06900326812811605,0.0014,selection,10,1000,495,495,495,366,287,328,292,1273,495,2598,2656,1457,1420,1000,1000,evaluation,0.0,10,0.5844879026631342,0.2734280990636603,0.4501248421797463,0.09840825381994765,0.5459670491487989,0.0,synthetic_heuristic,training_data_update,10,80,retraining,80,0.005933828465640545
8,2025-11-27 19:18:16.089108,generation,11.2839,6762,random,prediction,9.9128,6762,0.5974410772323608,0.195506289601326,0.399758172842639,0.07182962545869984,0.0015,selection,10,1000,500,500,500,361,285,325,290,1261,500,2583,2641,1457,1409,1000,1000,evaluation,0.0,10,0.5261226844480509,0.29893553494712344,0.4172097511111266,0.06291861191687223,0.5715417214327441,0.0,synthetic_heuristic,training_data_update,10,90,retraining,90,0.0051275486230022375
9,2025-11-27 19:18:44.549993,generation,10.7054,6734,random,prediction,9.3739,6734,0.5871134996414185,0.19597309827804565,0.40038099444192204,0.06957742993748697,0.0014,selection,10,1000,507,507,507,361,280,321,288,1250,507,2574,2624,1454,1401,1000,1000,evaluation,0.0,10,0.5490136286167311,0.13546247213703916,0.391462016563478,0.12451214563444427,0.6053918736919354,0.0,synthetic_heuristic,training_data_update,10,100,retraining,100,0.006574240736663342
